"","X","File.Name","first_author_ep","measured_in_time_series_data_ep","hypothesized_driver_of_change_ep","level_of_analysis_ep","increase_decrease_ep","method.of.estimating_ep","raw.stats_ep","author_nd","measured_in_time_series_data_nd","level_of_analysis_nd","hypothesized_driver_of_change_nd","method_of_estimating_nd","increase_decrease_nd","raw_stats_nd","notes_nd","first_author_ib","measured_in_time_series_data_ib","level_of_analysis_ib","hypothesized_driver_of_change_ib","increase_decrease_ib","method_of_estimating_ib","raw_stats_ib","help_needed_ib","first_author_ps","population.structure._ps","genetic.structure._ps","spatial.structure._ps","genomic.structure._ps","measured_in_time_series_data_ps","hypothesized_driver_of_change_ps","increase_decrease_ps","method_of_estimating_ps","raw_stats_ps","measured_in_time_series_data_gf","level_of_analysis_gf","hypothesized_driver_of_change_gf","increase_decrease_gf","method_of_estimating_gf","raw_stats_gf","author_selection","measured_in_time_series_data_selection","central_question_regarding_selection_selection","outcome_of_central_question_selection","selection_level_of_analysis_selection","selection_hypothesized_driver_of_change_selection.x","selection_method_of_estimating_selection","selection_candidate_gene_list_selection","selection_coefficent_overall_selection","selection_coefficent_meanofoutliers_selection","first_author_last_name_drift","measured_in_time_series_data_drift","level_of_analysis_drift","hypothesized_driver_of_change_drift","method_of_estimating_drift","did_drift_have_effect_drift","raw_stats_drift","help_needed_drift","notes_drift","Author_fst","measured_in_time_series_data_fst","level_of_analysis_fst","hypothesized_diver_of_change_fst","spacetime_or_time_fst","sliding_window_vs_entire_genome_fst","candidate_gene_list_fst","raw_stats_fst","first_auhtor_tajima","measured_in_time_series_data_tajima","level_of_analysis_tajima","hypothesized_driver_of_change_tajima","sliding_window_vs_entire_genome_tajima","raw_stats_tajima","canidate_gene_tajima","help_needed_tajima","first_author_mc","measured_in_time_series_data_mc","level_of_anaylsis_mc","hypothesized_driver_of_change_mc","increase_decrease_mc","method_of_estimating_mc","raw_stats_mc","help_needed_mc","order_parallel","parallel._parallel","author_parallel","measured_in_time_series_data_parallel","evidence_of_parallel_evolution_parallel","snp_evidence_parallel","gene_protein_evidence_parallel","parallel_diversity.change_parallel","notes_parallel","collectedmonth_paperinfo","doi_paperinfo","year_paperinfo","journal_paperinfo","volume_paperinfo","issue_paperinfo","dbs_paperinfo","authors_paperinfo","first_author_paperinfo","keywords_paperinfo","Title_paperinfo","Notes_paperinfo","Type_paperinfo","Study.system_paperinfo","Taxon_paperinfo","Driver.of.change_paperinfo","Data.type_paperinfo","Experimental.design_paperinfo","Time.scale.years_paperinfo","Time.scale.generations_paperinfo","File.Name.1_paperinfo","revised","Driver.of.change.std_paperinfo"
"45",45,"10.1038_s41586-022-04824-9.pdf","bergstrom","yes","speciation","multiple_inferred",NA,"MSMC2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"bergstrom",NA,NA,NA,NA,NA,NA,NA,"Bergstrom","Yes","Yes","No","No","yes","glaciation","no change","PCA","see doc. This paper barely touches this topic, its just this one graph. Maybe double check to see if worth including in this section. ","yes","multiple_spatial; multiple_temporal","captivity; domestication; anthropogenic","decrease","D statistics and admixture graph model","(In doc) f4-statistics showed that all wolves postdating 23 ka are more similar to Siberian wolves than to European or Central Asian wolves from ~30 ka. an admixture graph model with recurrent, unidirectional gene flow from Siberia into Europe could explain these relationships","bergstr�m","yes","What role has selection played in recent wolf evolution?","candidate gene list","linear regression on allele frequency ~ sample age; TMRCA sliding window","","","only GO categories",NA,NA,"bergstrom ","yes","multiple_temporal","natural evolution","f3 statistics","yes","see word document",NA,"shared genetic drift varies among populations","Bergstrom","yes","multiple spatial","glaciation","spacetime","genomewide","no","see doc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,"Yes","bergstrom","no",NA,NA,NA,NA,NA,"august","10.1038/s41586-022-04824-9",2022,"",NA,"","","Bergstrom; Anders; Stanton; David W. G.; Taron; Ulrike H.; Frantz; Laurent; Sinding; Mikkel-Holger S.; Ersmark; Erik; Pfrengle; Saskia; Cassatt-Johnstone; Molly; Lebrasseur; Ophelie; Girdland-Flink; Linus; Fernandes; Daniel M.; Ollivier; Morgane; Speidel; Leo; Gopalakrishnan; Shyam; Westbury; Michael V.; Ramos-Madrigal; Jazmin; Feuerborn; Tatiana R.; Reiter; Ella; Gretzinger; Joscha; Muenzel; Susanne C.; Swali; Pooja; Conard; Nicholas J.; Caroe; Christian; Haile; James; Linderholm; Anna; Androsov; Semyon; Barnes; Ian; Baumann; Chris; Benecke; Norbert; Bocherens; Herve; Brace; Selina; Carden; Ruth F.; Drucker; Dorothee G.; Fedorov; Sergey; Gasparik; Mihaly; Germonpre; Mietje; Grigoriev; Semyon; Groves; Pam; Hertwig; Stefan T.; Ivanova; Varvara V.; Janssens; Luc; Jennings; Richard P.; Kasparov; Aleksei K.; Kirillova; Irina V.; Kurmaniyazov; Islam; Kuzmin; Yaroslav V.; Kosintsev; Pavel A.; Laznickova-Galetova; Martina; Leduc; Charlotte; Nikolskiy; Pavel; Nussbaumer; Marc; O'Drisceoil; Coilin; Orlando; Ludovic; Outram; Alan; Pavlova; Elena Y.; Perri; Angela R.; Pilot; Malgorzata; Pitulko; Vladimir V.; Plotnikov; Valerii V.; Protopopov; Albert V.; Rehazek; Andre; Sablin; Mikhail; Seguin-Orlando; Andaine; Stora; Jan; Verjux; Christian; Zaibert; Victor F.; Zazula; Grant; Crombe; Philippe; Hansen; Anders J.; Willerslev; Eske; Leonard; Jennifer A.; Gotherstrom; Anders; Pinhasi; Ron; Schuenemann; Verena J.; Hofreiter; Michael; Gilbert; M. Thomas P.; Shapiro; Beth; Larson; Greger; Krause; Johannes; Dalen; Love; Skoglund; Pontus","Bergstrom","","Grey wolf genomic history reveals a dual ancestry of dogs","","article","vertebrate","Mammal","natural evolution","WGS","historical","100000 or 300000","30000 or 100000","10.1038_s41586-022-04824-9.pdf","anthropogenic","anthropogenic"
"47",48,"10.1073_pnas.1400378111.pdf","martins","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"martins","yes","How do drosophila evolve in response to viruses?","candidate gene list","multiple_temporal","disease; three viruses","CMH","yes",NA,"0.24 and 0.14","martins","no",NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,"Yes","martins","yes","yes","yes","yes",NA,"resistance to parasite in four replicate populations associated with changes in pst; potential role for epistasis","may","10.1073/pnas.1400378111",2014,"Proceedings of the National Academy of Sciences of the United States of America",111,"16","er","Martins N.E.; Faria V.G.; Nolte V.; Schl√∂tterer C.; Teixeira L.; Sucena √â.; Magalh√£es S.","Martins","Drosophila immunity; Evolve and resequence; Experimental evolution; Host-parasite interactions","host adaptation to viruses relies on few genes with different cross-resistance properties","","article","invertebrate","Drosophila melanogaster","host-pathogen","poolseq","repeated",NA,"35","10.1073_pnas.1400378111.pdf","host-pathogen","host-pathogen"
"49",50,"10.1073_pnas.1714246115.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Burghardt","Yes","No","No","No","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"burghardt","yes","How does selection differ between free living  and legume-symbiotic rhizobial communities?","various findings","multiple_temporal","symbioses","strain frequency over time; mean relative fitness","no; but GO terms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,"No",NA,NA,NA,NA,NA,NA,NA,"may","10.1073/pnas.1714246115",2018,"Proceedings of the National Academy of Sciences of the United States of America",115,"10","er","Burghardt L.T.; Epstein B.; Guhlin J.; Nelson M.S.; Taylor M.R.; Young N.D.; Sadowsky M.J.; Tiffin P.","Burghardt","Ensifer meliloti; Evolve and resequence; Facultative mutualism; Medicago; Synthetic community","select and resequence reveals relative fitness of bacteria in symbiotic and free-living environments","","article","bacteria"," Ensifer meliloti ","experimental","poolseq","experimental","0.15","","10.1073_pnas.1714246115.pdf","experimental","experimental"
"50",51,"10.1073_pnas.2201521119.pdf","brennan","yes","ocean acidification; ocean warming; climate change; anthropogenic","single",NA,"poolseq R package","414",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"brennan","yes","How has the copepod Acartia tonsa evolved in response to ocean warming and acidification?","candidate gene list","multiple_temporal","climate change; anthropogenic","temporal covariance-based method (cvtk)","yes","","","brennan","yes","multiple_temporal","warming and acidification; climate change","pairwise covariance in allele frequency change","yes","33-68% of shifts in allele frequencies due to drift; fig 3c and webplotdigitizer",NA,"good example for drift section","","","","","","","","","brennan","yes","single","ocean warming; acidification; anthropgenic","sliding window","(Tajima�s ?: 0.0148 � 0.0004","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,54,"Yes","brennan","yes","partial","yes",NA,NA,"treatment replicates had high convergent correlations; also find some changes that could be drift","may","10.1073/pnas.2201521119",2022,"Proceedings of the National Academy of Sciences of the United States of America",119,"38","er","Brennan R.S.; deMayo J.A.; Dam H.G.; Finiguerra M.; Baumann H.; Buffalo V.; Pespeni M.H.","Brennan","evolve and resequence; global change adaptation; zooplankton evolution","experimental evolution reveals the synergistic genomic mechanisms of adaptation to ocean warming and acidification in a marine copepod","","article ","invertebrate","Acartia tonsa (temperature and acidification)","experimental","reduced representation","experimental","1","25","10.1073_pnas.2201521119.pdf","anthropogenic","anthropogenic"
"52",53,"10.1080_22221751.2022.2040921.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"wu","yes","How did strep vaccines affect strain evolution?","Vaccine availability interruprtions correspond with an increase in strep","multiple temporal","host-pathogen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,"No",NA,NA,NA,NA,NA,NA,NA,"august","10.1080/22221751.2022.2040921",2022,"",NA,"","","Wu X.; Zhao S.; Jiang Y.; Xiang X.; Ge L.; Chen Q.; Wang Y.; Vidal J.E.; Yu Y.","Wu","","Effect of pneumococcal conjugate vaccine availability on Streptococcus pneumoniae infections and genetic recombination in Zhejiang; China from 2009 to 2019","","article","bacteria","Pneumoccocal pneumonia","host-pathogen","WGS","repeated","10","104.2857143","10.1080_22221751.2022.2040921.pdf","host-pathogen","host-pathogen"
"54",55,"10.1093_gbe_evaa036.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"burny","yes","Can their new experimental method better identify candidate genes?","yes","multiple_temporal","temperature; experimental","fishers exact test, CMH, forward simulations","no","0","0.26, 0.27; 0.08, 0.09, 0.12","burny","no",NA,NA,NA,NA,NA,NA,"controlled for drift but not really a focal result","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,"Yes","burny","yes","no","no",NA,NA,"two distinct haplotypes emerged in response to selection in different replicates","may","10.1093/gbe/evaa036",2020,"Genome Biology and Evolution",12,"3","er","Burny C.; Nolte V.; Nouhaud P.; Dolezal M.; Schl√∂tterer C.; Baer C.","Burny","Drosophila simulans; evolve and resequence; experimental evolution; repeatability of evolution","secondary evolve and resequencing: an experimental confirmation of putative selection targets without phenotyping","Time scale years calculated from https://doi.org/10.1016/B978-012158861-8/50007-7","article","invertebrate","Drosophila simulans","experimental","poolseq","experimental","2.5","70","10.1093_gbe_evaa036.pdf","experimental","experimental"
"56",57,"10.1093_gbe_evaa178.pdf",NA,NA,NA,NA,NA,NA,NA,"maddamsetti","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"maddamsetti","yes","Does selection act on mutation rate in E Coli?","yes","multiple_temporal","mutation rate","novel mutations over time","yes",NA,NA,"maddamsetti ","no",NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,"Yes","maddamsetti","no",NA,NA,NA,NA,"about LTEE, not specific selective pressure","august","10.1093/gbe/evaa178",2020,"",NA,"","","Maddamsetti; Rohan; Grant; Nkrumah A.","Maddamsetti","","Divergent Evolution of Mutation Rates and Biases in the Long-Term Evolution Experiment with <i>Escherichia coli</i>","","article","bacteria","E coli","experimental","metagenomics","experimental","#N/A","60000","10.1093_gbe_evaa178.pdf","experimental","experimental"
"57",58,"10.1093_gbe_evaa188.pdf","parejo","no",NA,NA,NA,NA,NA,"parejo","yes","multiple_temporal","commercial breeding; emerging disease; anthropogenic change","pi over windows","increased","modern pi: 0.00241, 95% CI 0.00240�0.00243 ; historic pi: 0.00227, 95% CI 0.00224�0.00230)","good example!","parejo",NA,NA,NA,NA,NA,NA,NA,"Parejo","Yes","Yes","No","No","yes","Apicultural practices; pesticide use, agricultural practices","no change","PCA, Fst, and admixture","See doc for PCA and admixture. Fst between museum and modern samples was 0.007, 95% CI 0.004-0.009",NA,NA,NA,NA,NA,NA,"Parejo","yes","What genes are experiencing selection in Swiss honey bee","Several genes are experiencig selection specifically related to xenobionics","multiple_temporal","pesticide; disease; change in agriculture; anthropogenic","XP-EHH & SNPeff","yes",NA,NA,"parejo","no",NA,NA,NA,NA,NA,NA,NA,"Parejo","yes","single","Apicultural practices; pesticide use, agricultural practices","time","genomewide","no","Fst between museum and modern samples was 0.007, 95% CI 0.004-0.009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,"No",NA,NA,NA,NA,NA,NA,NA,"may","10.1093/gbe/evaa188",2020,"GENOME BIOL EVOL",12,"12","NA NA wos","Parejo; M; Wragg; D; Henriques; D; Charri√®re; JD; Estonba; A","Parejo","Apis mellifera mellifera; museum genomics; genetic diversity; selection signatures; haplotype phasing; biodiversity","digging into the genomic past of swiss honey bees by whole-genome sequencing museum specimens","","article","invertebrate","Apis mellifera mellifera","natural evolution","WGS","historical","141","56","10.1093_gbe_evaa188.pdf","anthropogenic","anthropogenic"
"58",59,"10.1093_gbe_evab070.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maddamsetti","No","Yes","No","No","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maddamsetti","yes","Why do abundant proteins evolve slowly?","Direct quation not really ansswered, but says result of paper help with designing an experiment that will be able to answer this question","multiple_spatial","DNA repair mutation; mutation; natural evolution","comparisons of density of observed mutation w/ spearman correlatio coefficients","no",NA,NA,"maddamsetti","no",NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"maddamsetti",NA,NA,NA,NA,NA,NA,NA,63,"No",NA,NA,NA,NA,NA,NA,NA,"may","10.1093/gbe/evab070",2021,"GENOME BIOL EVOL",13,"6","NA NA wos","Maddamsetti; R","Maddamsetti","purifying selection; experimental evolution; protein evolution","universal constraints on protein evolution in the long-term evolution experiment with escherichia coli","","article ","bacteria","escherichia coli","experimental","metagenomics","experimental","30","60000","10.1093_gbe_evab070.pdf","experimental","experimental"
"59",60,"10.1093_gbe_evab154.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lanmuller","yes","What experimental parameters are best for detecting selection?",">4800 indv","multiple_temporal",NA,"simuation","simuation","sim","sim","langmuller ","no",NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,"No",NA,NA,NA,NA,NA,NA,NA,"may","10.1093/gbe/evab154",2021,"Genome Biology and Evolution",13,"8","er","Langm√ºller A.M.; Dolezal M.; Schl√∂tterer C.","Langm√ºller","Drosophila; experimental design; experimental evolution; fine mapping; secondary evolve and resequence","fine mapping without phenotyping: identification of selection targets in secondary evolve and resequence experiments","","article ","invertebrate","Drosophila simulans","experimental","simulation","experimental",NA,"60","10.1093_gbe_evab154.pdf","simulation","simulation"
"60",61,"10.1093_gbe_evab237.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"colbran","yes","How has selection on gene-regulation genes shaped ancient European evolution?","metabolic and immune functions, dietary metabolism","multiple_temporal","social changes among ancient humans","PrediXcan","yes","","","colbran","no",NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,"No",NA,NA,NA,NA,NA,NA,NA,"august","10.1093/gbe/evab237",2021,"",NA,"","","Colbran L.L.; Johnson M.R.; Mathieson I.; Capra J.A.","Colbran","","Tracing the Evolution of Human Gene Regulation and Its Association with Shifts in Environment","","article","vertebrate","Mammal","natural evolution","WGS","historical","38000","1266.666667","10.1093_gbe_evab237.pdf","anthropogenic","anthropogenic"
"61",62,"10.1093_gbe_evab239.pdf","burny","yes","extreme heat; parallel evolution; experimental","multiple_spatial",NA,"poolseq R package","Sample	Ne estimate
Autosomes / X
R1	58 / 22
R2	57 / 14
R3	53 / 22
R4	54 / 19
R5	56 / 19
R6	50 / 22
R7	48 / 25
R8	60 / 20
R9	59 / 17
R10	61 / 23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"burny","yes","Do highly inbred Drosophila strains have highly parallel selection responses?","yes","multiple_temporal","heat; experimental","allele frequency change","no","see notes","see notes","burny","no",NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,"Yes","burny","yes","yes","yes",NA,NA,"strong parallel selection in 10 evolved lines in response to extreme hot temps; correlation among replicates > .8; significant p val","may","10.1093/gbe/evab239",2021,"Genome Biology and Evolution",13,"11","er","Burny C.; Nolte V.; Dolezal M.; Schl√∂tterer C.","Burny","Drosophila melanogaster; evolve and resequence; experimental evolution; inbred strains; parallelism; polygenic trait","highly parallel genomic selection response in replicated drosophila melanogaster populations with reduced genetic variation","Time scale years calculated from 10.1007/978-1-59745-365-3_3","article","invertebrate","Drosophila melanogaster","experimental","poolseq","experimental",NA,"20","10.1093_gbe_evab239.pdf","experimental","experimental"
"62",63,"10.1093_gbe_evac074.pdf","schick","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Schick","Yes","No","Yes","No","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"schick","yes","How does a heterogenous environment affect effective population size and therefore parallelism of evolution and selection?","Spatially structured populations have lower Ne and therefore a lower supply of beneficial mutations, leading to divergent evolution.","multiple_temporal","novel environment","nonsynonymous:synonymous","yes",NA,NA,"schick","no",NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,"Yes","schick","yes","partial","yes","yes",NA,"found both snp and gene level parallelism but effects vary among treatments","may","10.1093/gbe/evac074",2022,"Genome Biology and Evolution",14,"6","er","Schick A.; Shewaramani S.; Kassen R.","Schick","diversification; evolve-and-resequence experiments; nutrient adaptation; Pseudomonas aeruginosa; spatial structure","genomics of diversification of pseudomonas aeruginosa in cystic fibrosis lung-like conditions","Time scale years calculated from 10.1002/9780471729259.mc06e01s25","article","bacteria","Pseudomonas aeruginosa","host-pathogen","WGS","experimental","0.038","220","10.1093_gbe_evac074.pdf","host-pathogen","host-pathogen"
"63",64,"10.1093_gbe_evac153.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dyrhage","yes","What genes in the honeybee gut microbiome play a role in antibiotic properties?"," a 19.5 kb plasmid for the synthesis of the antimicrobial compound kunkecin A","multiple temporal","host-;pathogen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,"No",NA,NA,NA,NA,NA,NA,NA,"august","10.1093/gbe/evac153",2022,"",NA,"","","Dyrhage K.; Garcia-Montaner A.; Tamarit D.; Seeger C.; N√§slund K.; Olofsson T.C.; Vasquez A.; Webster M.T.; Andersson S.G.E.","Dyrhage","","Genome Evolution of a Symbiont Population for Pathogen Defense in Honeybees","","article","bacteria","bacterial community","host-pathogen","metagenomics","repeated","0.25 or 0.333333333","3627.329193","10.1093_gbe_evac153.pdf","host-pathogen","host-pathogen"
"64",65,"10.1093_gbe_evad113.pdf","barata","yes","sexual selection; experimental","multiple_temporal","","poolseq R package","see notes file","barata","yes","multiple_temporal","breeding system; monogamy or polyandry; experimental evolution","pi over windows","decreased",NA,"decreased in both treatments; no real stats; see figure in word doc",NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"barata","yes","How does section act differenlty between a polyamorous and a monogamous population?","More pronounced variants in poly; bigger effect on X chrom in poly and on male sex linked chrom XR  ","multiple_spatial","sexual selection","BAIT-ER","yes","","","barata","yes","multiple_temporal","experimental evolution","effective population size","yes","lower effective population size in monogamous treatment suggests drift had stronger effect than in polyandrous lines",NA,NA,"","","","","","","","","barata","yes","multiple_temporal","sexual selection; experimental evolution","sliding window","see notes doc","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,70,"Yes","barata","no",NA,NA,NA,NA,NA,"august","10.1093/gbe/evad113",2023,"",NA,"","","Barata C.; Snook R.R.; Ritchie M.G.; Kosiol C.","Barata","","Selection on the Fly: Short-Term Adaptation to an Altered Sexual Selection Regime in Drosophila pseudoobscura","","article","invertebrate","Drosophila pseudoobscura","experimental","poolseq","experimental","#N/A","200","10.1093_gbe_evad113.pdf","experimental","experimental"
"67",68,"10.1093_gbe_evy007.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cridland","Yes","No","No","No","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cridland","yes","how do populations of bees differ how have invasive species impated the genomes of California bee populations","candidate gene list","multiple temporal","invasive species, anthropogenic ","Fst, novel mutations, gene ontology","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cridland","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,"No",NA,NA,NA,NA,NA,NA,NA,"may","10.1093/gbe/evy007",2018,"GENOME BIOL EVOL",10,"2","NA scopus wos","Cridland J.M.; Ramirez S.R.; Dean C.A.; Sciligo A.; Tsutsui N.D.","Cridland","Apis mellifera; demography; population genomics","genome sequencing of museum specimens reveals rapid changes in the genetic composition of honey bees in california","8 weeks/generation from https://doi.org/10.1016/S0065-2806(06)33001-9
","article","invertebrate","apis mellifera","natural evolution","WGS","historical","105","682.5","10.1093_gbe_evy007.pdf","anthropogenic","anthropogenic"
"69",70,"10.1093_icb_icac098.pdf","pfenninger","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pfenninger","yes","How do natural populations adapt to fluctuating environmental changes?","positive selection; concerted evolution of multiple traits in correlation with environment","multiple_temporal","climate","allele frequency change; selection coefficients for haplotypes","yes","","","pfenninger ","no",NA,NA,NA,NA,NA,NA,"controlled for drift but not really a focal result","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,"Yes","pfenninger","no",NA,NA,NA,NA,NA,"august","10.1093/icb/icac098",2022,"",NA,"","","Pfenninger; Markus; Foucault; Quentin","Pfenninger","","Population Genomic Time Series Data of a Natural Population Suggests Adaptive Tracking of Fluctuating Environmental Changes","","article","invertebrate","Chironomus riparius","natural evolution","poolseq","repeated","3","27","10.1093_icb_icac098.pdf","natural evolution","natural evolution"
"71",72,"10.1093_jeb_voae068.pdf",NA,NA,NA,NA,NA,NA,NA,"parvizi","yes","multiple_spatial","insecticide","Watterson�s theta; Tajima�s estimator, _�)","decreased then increased","see document","diversity decreased from the 1950s through the 60s and 70s when effects of insecticide were highest; increased since 70s",NA,NA,NA,NA,NA,NA,NA,NA,"Parvizi","Yes","Yes","No","Yes","yes","pesticide use","no change","PCA, Fst, and admixture","see doc",NA,NA,NA,NA,NA,NA,"Parvizi","yes","What are the patterns of selection in Helicoverpa armigera in response to repeated insecticide use","Found alternating trajectories of allele freq over time","multiple_temporal","insecticide; anthropology","allele freq, fst, MAF ratios","yes (gene families)",NA,NA,"parvizi","yes","multiple_temporal","insecticide resistance","genetic diversity","yes","reduction in genetic diversity in decades with highest impact of insecticides",NA,NA,"Parvizi","yes","multiple temporal","pesticide use","time","genomewide","yes","see doc","parvizi","yes","multiple_temporal","insecticide; agriculture change; anthropogenic ","entire genome","see notes doc","no","Not entirely sure about entire genome v sliding window",NA,NA,NA,NA,NA,NA,NA,NA,78,"No",NA,NA,NA,NA,NA,NA,NA,"may","10.1093/jeb/voae068",2024,"J EVOLUTION BIOL",37,"8","NA NA wos","Parvizi; E; Bachler; A; Zwick; A; Walsh; TK; Moritz; C; McGaughran; A","Parvizi","cotton bollworm; genetic drift; insecticide resistance; museum genomics; selection","historical museum samples reveal signals of selection and drift in response to changing insecticide use in an agricultural pest moth","","article ","invertebrate","Helicoverpa armigera","anthropogenic","reduced representation","historical","92","576","10.1093_jeb_voae068.pdf","anthropogenic","anthropogenic"
