0,File Name,'selection','balancing selection','purifying selection','positive selection','selection coefficient','gene ontology',fitness',assigned,author,selection_measured_in_time_series_data,central_question_regarding_selection,outcome_of_central_question,selection_level_of_analysis,selection_hypothesized_driver_of_change,selection_method_of_estimating,selection_candidate_gene_list,added_genes_to_list,selection_coefficent_overall,selection_coefficent_meanofoutliers,
140,10.1111_mec.17274.pdf,Yes,No,No,Yes,No,No,Yes,henrey,Kellner,yes,What genomic effects have a population bottleneck had on reindeer in Svalbard?,"many regions of the genome experienced selection pre-and during hunting, but now they are undergoing drift",multiple temporal,hunting; anthropogenic,"Fay and Wu's H, Fst",yes,NA,NA,NA,
141,10.1126_sciadv.aax0530.pdf,Yes,No,Yes,Yes,Yes,No,Yes,danny,retel,yes,What role does selection play in host-virus coevolution?,candidate gene list,multiple_temporal,host-pathogen,allele frequency change,yes,NA,NA,NA,NA
142,10.1128_AEM.00179-18.pdf,Yes,No,No,No,No,No,No,,patin,no,NA,NA,NA,NA,NA,NA,,NA,NA,
143,10.1128_JB.00587-20.pdf,Yes,No,No,No,No,No,No,,dicks,no,NA,NA,NA,NA,NA,NA,,NA,NA,
144,10.1128_JVI.01080-14.pdf,No,No,No,No,No,No,Yes,,nelson,no,,,,,,,,NA,NA,
145,10.1128_JVI.01519-08.pdf,Yes,No,Yes,No,No,No,Yes,danny,bird,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,
146,10.1128_JVI.02055-14.pdf,Yes,No,Yes,Yes,No,No,Yes,danny,boyle,yes,How has bluetongue virus evolved in Northern Australia?,"Largely purging selection, some regions experience positive selection",multiple_temporal,epidemic,"MEME, SLAC, FEL, IFEL, REL, and FUBAR",yes,NA,NA,NA,NA
147,10.1128_mBio.00987-21.pdf,Yes,No,No,No,No,No,Yes,,zlamal,yes,Is the evolution to drug resistance parallel in three Gram-negative bacteria species?,In some ways yes and in other ways no; shared genes,multiple_temporal,antibiotics,novel mutation identification; minimum inhibitory concentration analyses of mutations,yes,yes,NA,NA,
148,10.1128_mSystems.00495-21.pdf,No,No,No,No,No,No,No,,debroy,yes,Has selection of clonal lineages shaped Streptococcus evolution in recent time?,yes,multiple temporal,host-pathogen,"phylogeny, structure",yes,,NA,NA,
149,10.1128_msystems.01477-21.pdf,Yes,Yes,Yes,Yes,No,No,No,danny,hwang,yes,How does selection act on a microbe in different environments? Does it act on whole genomes or genes?,Largely through effects on regulatory genes,multiple_spatial,natural evolution,pN/pS; Fst,yes,NA,,,
150,10.1128_spectrum.01219-22.pdf,Yes,No,No,No,No,No,No,,periwal,no,NA,NA,NA,NA,NA,NA,,NA,NA,
151,10.1128_spectrum.03128-23.pdf,Yes,No,No,No,No,No,No,,chaar,no,NA,NA,NA,NA,NA,NA,,NA,NA,
152,10.1186_1471-2148-13-46.pdf,Yes,No,No,No,No,No,Yes,,bedhomme,yes,What impact does historical contingency have on evolution?,It impacts genotype but not phenotype,multiple_temporal,historical contingency,NA,NA,,NA,NA,
153,10.1186_s12711-024-00900-y.pdf,Yes,No,No,Yes,No,No,No,danny,somenzi,yes,How did selection act on a unique Italian cattle breed?,"milk and meat production, environmental adaptation, immune response",multiple_temporal,breeding; anthropogenic,"EHH, decay of haplotype homozygosity as genetic distance increases",yes,NA,,,
154,10.1186_s12862-016-0662-8.pdf,Yes,No,No,No,No,No,Yes,,plucain,yes,What impact does historical contingency have on evolution?,It impacts it,multiple_temporal,historical contingency,NA,NA,,NA,NA,
155,10.1186_s12862-021-01789-7.pdf,Yes,Yes,No,Yes,No,Yes,Yes,Ally,o'hara,yes,Did a drought cause selection on genes related to fungal pathogen resistance in Brassica rapa?,yes,multiple_temporal,climate change; anthropogenic,"Fst, Tajima's D",yes,NA,,,
156,10.1186_s12862-022-02083-w.pdf,Yes,No,No,No,No,No,Yes,,muller-girard,no,NA,NA,NA,NA,NA,NA,,NA,NA,
157,10.1186_s12864-016-3298-6.pdf,Yes,No,Yes,Yes,Yes,No,Yes,henrey,brown,yes,How has selection shaped tuberculosis populations in New York City and New Jersey?,candidate gene list,multiple temporal,host-pathogen,dN/dS,yes,NA,,,
159,10.1186_s12864-021-07700-4.pdf,Yes,No,Yes,Yes,No,No,No,henrey,Peck,yes,did F. xylaroides aquire pathogenicity genes from F. oxysporum,candidate gene list; virulence and growth pathways but not many drug resistance mutations,multiple_temporal,horizontal gene transfer,dn/ds,yes,NA,NA,NA,
160,10.1186_s12866-017-1111-6.pdf,No,No,No,No,No,No,No,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
161,10.1186_s12866-021-02158-6.pdf,No,No,No,No,No,No,No,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
162,10.1186_s13059-018-1503-4.pdf,Yes,No,No,Yes,Yes,Yes,Yes,Ally,Mallard,yes,What is the genetic architecture of thermal adaption?,"Large-effect loci segregat at intermediate allele freq, allowig for rapid response to selection",single,temperature; experimental,CMH,no,NA,"0.06, see figure",NA,
163,10.1186_s13059-021-02425-9.pdf,Yes,No,Yes,Yes,Yes,No,Yes,danny,otte,yes,Does population ancestry or selection regime determine temperature adaptation?,population ancestry,multiple_temporal,temperature; experimental,"allele frequency change, CMH",yes,NA,NA,NA,NA
164,10.1371_journal.pbio.0030300.pdf,Yes,No,No,Yes,No,No,No,henrey,Holmes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,
166,10.1371_journal.pbio.2001586.pdf,Yes,No,No,No,No,No,Yes,,yen,yes,Do drug-order specific effects lead to variations in antibiotic resistance?,yes,multiple_temporal,antibiotics,novel mutation identification; minimum inhibitory concentration analyses of mutations,yes,yes,NA,NA,
167,10.1371_journal.pbio.3002333.pdf,Yes,No,No,Yes,No,Yes,Yes,Ally,Shpak,yes,What changes in genomic diversity can be tracked by comparing histroical to modern samples?,Several genes including those related to antiviral resistance & circadian ,multiple_tempotal,natural evolution; increasing human inpact,PBE,yes,NA,NA,NA,
169,10.1371_journal.pgen.1009722.pdf,Yes,No,No,No,Yes,No,Yes,,pentz,yes,Can we predict outcomes of experimental evolution on Pseudomonas protegens based on the same experiements in Pseudomonas fluorescens?,Mutated pathways and genes and even protein regions can be predicted but not nucleotides,multiple_temporal,"access to O2, colonization of air-liquid interface",novel mutation,yes,NA,"figure and table, see notes","figure and table, see notes",
170,10.1371_journal.pgen.1011333.pdf,Yes,No,No,Yes,No,Yes,Yes,danny,zion,yes,How does ecoli evolve to diminishing resources over long time periods (6 years)?,"convergently/in parallel, continuously, with historical contingency",multiple_temporal,diminishing resources,"dn/ds, association tests (for historical contingency)",yes,NA,,,
171,10.1371_journal.pntd.0011527.pdf,No,No,No,No,No,No,No,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
172,10.1371_journal.pone.0147549.pdf,Yes,No,Yes,No,No,No,No,henrey,Huang,yes,how has parasitism altered gene expression and SNPs in bees?,candidate gene list,multiple temporal,parasitism,dn/ds,yes,NA,NA,NA,
173,10.1371_journal.pone.0201838.pdf,Yes,No,No,No,Yes,No,Yes,,hubert,yes,What genes have experienced selection in Tasmanian devils due to DFTD?,cancer and behavior-related; candidate gene list,multiple_temporal,disease; Devil Face Tumor Disease,signasel,yes,NA,NA,NA,
174,10.1371_journal.ppat.1008298.pdf,Yes,Yes,No,No,No,No,Yes,henrey,pearson,yes,Did selection drive a pathogen towards a commensal relationship?,"No, trajectory was largely shaped by drift",multiple_temporal,host-pathogen,SLAC via HyPHY; Tajima's D,no,NA,,,
174.5,10.1371_journal.pgen.1006585.pdf,Yes,No,Yes,No,No,No,Yes,danny,sanchez,yes,Does selection act on the same genes across yeast species?,sometimes but not always,multiple_spatial,nutrient limitation; experimental,allele copy number; microarray-based comparative genomic hybridization (aCGH) followed by WGS,yes,no,NA,NA,NA
175,10.1371_journal.ppat.1009744.pdf,Yes,No,No,Yes,No,No,Yes,danny,tohma,yes,How have noroviruses evolved since the 1970s?,diversifying selection leads to new variants,multiple_temporal,epidemic,"MEME, FUBAR, HyPhy, Datamonkey",yes,NA,,,
176,10.1371_journal.ppat.1010993.pdf,Yes,No,No,No,No,No,Yes,,carrasquilla,yes,How has malaria in humans (Plasmodium falciparum) evolved in response to antimalarial drugs?,candidate gene list,multiple_temporal,antibiotics, intra-chro- mosomal IBD and an analysis of haplotypic variation,yes,yes,NA,NA,
177,10.1371_journal.ppat.1012090.pdf,Yes,Yes,Yes,No,Yes,No,Yes,henrey,yu,yes,Does background selection drive the reduction in effective population size in SARS-CoV-2?,"no,, drift",multiple_temporal,host-pathogen,simulation,no,NA,,,
178,10.15252_msb.20188462.pdf,Yes,No,No,No,No,No,Yes,,guzmán,yes,How does ancestral  enzyme function impact how bacteria adapts to novel substrates?,promiscuous activities in ancestral enzyme functions are altered to be involved in adaptation to novel substrate,multiple_temporal,substrate,novel mutations; Individual mutant growth test,yes,yes,NA,NA,
179,10.1534_g3.115.023200.pdf,Yes,No,No,Yes,No,No,No,danny,shim,simuation,simuation,simuation,simuation,simuation,simuation,simuation,NA,simuation,simuation,
180,10.1534_g3.117.043349.pdf,Yes,No,No,No,No,No,No,,barghi,yes,"Is Drosophila simulans better suited than D. melanogaster for E&R studies that aim to charcterize the genomic archetecture of an adaptive response, since D. simulans does not have segregating inversions and has higher recombination rates?",yes,multiple_temporal,heat; experimental,CMH,no,,NA,NA,
181,10.1534_genetics.112.143396.pdf,Yes,No,Yes,Yes,Yes,No,Yes,Ally,strelkowa,yes,"Does clonal interference, a mode of evolution characterized by recurrent selective sweeps, shape influenza genetic diversity and evolutionary patterns?",yes,multiple_temporal,epidemic, frequency propa- gator method,,NA,,,
182,10.1534_genetics.118.301824.pdf,Yes,Yes,No,No,No,No,No,danny,kelly,yes,How does selection act in replicate populations of Drosophila?,evidence of parallel balancing selection,multiple_temporal,lab adaptation,likelihood/mer,yes,NA,NA,NA,NA
183,10.3201_eid1909.130377.pdf,Yes,No,No,Yes,No,No,No,henrey,Mann,yes,How has West Nile Virus changed from 2002-2012,4 genetic groups distinct from historical strains have emerged,multiple temporal,natural processes,dn/ds,no,NA,NA,NA,
184,10.3201_eid2701.191541.pdf,No,No,No,No,No,Yes,Yes,,dienstbier,no,NA,NA,NA,NA,NA,NA,,NA,NA,
187,10.3390_genes11040400.pdf,Yes,No,No,No,Yes,No,Yes,,rêgo,yes,How does selection act on seed beeltes when they are forced to adapt to a marginal host plant?,"adult weight, development time, detoxification genes",multiple_temporal,symbioses,allele frequency change,yes,NA,NA,NA,
188,10.3390_pathogens12081065.pdf,Yes,No,No,No,No,No,No,,norris,no,NA,NA,NA,NA,NA,NA,,NA,NA,
189,10.3390_v11080720.pdf,Yes,No,No,No,No,No,Yes,,kupczok,no,NA,NA,NA,NA,NA,NA,,NA,NA,
190,10.3390_vaccines11101537.pdf,Yes,No,No,No,No,No,No,,dieng,no,NA,NA,NA,NA,NA,NA,,NA,NA,
191,10.7554_eLife.03568.pdf,Yes,No,No,Yes,No,No,Yes,Ally,Nehar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,One domain anaylsed 
192,10.7554_eLife.64971.pdf,Yes,No,No,Yes,No,No,No,danny,domíınguez-andrés,yes,How did immune genes evolve in ancient European populations?,strongly during the Neolithic,multiple_temporal,social changes among ancient humans,"GWAS, QTLs",yes,NA,,,
