"","File.Name","X0","X.selection.","X.balancing.selection.","X.purifying.selection.","X.positive.selection.","X.selection.coefficient.","X.gene.ontology.","fitness.","assigned","author","selection_measured_in_time_series_data","central_question_regarding_selection","outcome_of_central_question","selection_level_of_analysis","selection_hypothesized_driver_of_change","selection_method_of_estimating","selection_candidate_gene_list","added_genes_to_list","selection_coefficent_overall","selection_coefficent_meanofoutliers","X.x","X.y","doi","year","authors","first_author.y","keywords","Title","Notes","Study.system","Taxon","Driver.of.change","Data.type","Experimental.design","Time.scale.years","Time.scale.generations","Driver.of.change.std"
"80","10.1093_molbev_msac248.pdf",87,"Yes","Yes","No","Yes","Yes","No","Yes","danny","linder","yes","How does yeast evolve in response to multiple chemical stressors?","The entire genome is affected across replicates/treatments; candidate gene lists","multiple_temporal","chemical","chi square","yes",NA,"","","",81,"10.1093/molbev/msac248",2022,"Linder R.A.; Zabanavar B.; Majumder A.; Hoang H.C.-S.; Delgado V.G.; Tran R.; La V.T.; Leemans S.W.; Long A.D.","Linder","complex traits; evolve and resequence; experimental evolution; yeast","adaptation in outbred sexual yeast is repeatable; polygenic and favors rare haplotypes","","microbes","Saccharomyces cerevisiae","experimental","poolseq","experimental","12","200","experimental"
"82","10.1093_molbev_msae053.pdf",89,"Yes","No","No","Yes","Yes","No","Yes","henrey","Poyraz","yes","what is the level of selection on gene expression in Britain based on ancient DNA","candidate gene list","multiple temporal","anthropogenic factors","iHS and SDS","yes",NA,NA,NA,"",83,"10.1093/molbev/msae053",2024,"Poyraz L.; Colbran L.L.; Mathieson I.","Poyraz","","Predicting Functional Consequences of Recent Natural Selection in Britain","","vertebrate","","natural evolution","WGS","historical","4500","167.2862454","natural evolution"
"83","10.1093_molbev_msae108.pdf",90,"Yes","No","No","Yes","No","No","No","henrey","Wang","yes","what are the gentic origins of modern dog breeds and what changes to the genome have occurred from rapid evolution due to selective breeding","candidate gene list","multiple temporal","selective breeding","XP-EHH and Fst","yes",NA,NA,NA,"",84,"10.1093/molbev/msae108",2024,"Wang S.-Z.; Yan Y.; Widlund M.; Qian C.-C.; Zhang L.-L.; Zhang S.-J.; Li Z.-M.; Cao P.; Dai Q.-Y.; Feng X.-T.; Liu F.; Wang L.; Gao C.; Fu Q.-M.; Hyt√∂nen M.K.; Lohi H.; Savolainen P.; Wang G.-D.","Wang","artificial selection; elkhound; genetic origin; historic dog fur; lapphund; population genomics","historic dog furs unravel the origin and artificial selection of modern nordic lapphund and elkhound dog breeds","","vertebrate","canis f. familiaris","anthropogenic","WGS","historical","200","160","anthropogenic"
"84","10.1093_molbev_msae128.pdf",91,"Yes","No","Yes","No","No","No","Yes","Ally","Angst","yes","How do allele frequencies of a metapopulation shift over time?","Subpopultaions trends toward intermediate allele freq and then shifted towards right-screwed distrobutions as the pop aged","multiple_temporal","movement between populations; genetic drift; natural evolution","pairwise fst, allele freq ","no",NA,NA,NA,"",85,"10.1093/molbev/msae128",2024,"Angst P.; Haag C.R.; Ben-Ami F.; Fields P.D.; Ebert D.","Angst","Cladocera; colonization; Daphnia; founder bottleneck; genomics; hybrid vigor; metapopulation; site frequency spectrum; time series; turnover dynamics","genome-wide allele frequency changes reveal that dynamic metapopulations evolve differently","","invertebrate","Daphnia magna ","natural evolution","poolseq","repeated","5","122","natural evolution"
"85","10.1093_molbev_msq002.pdf",92,"Yes","No","No","Yes","Yes","No","Yes","danny","lynd","yes","Is selection acting on an insecticide resistance gene in Anopheles gambiae?","yes","multiple_temporal","insecticide","EHH","no",NA,"0.16","0.16","",86,"10.1093/molbev/msq002",2010,"Lynd A.; Weetman D.; Barbosa S.; Egyir Yawson A.; Mitchell S.; Pinto J.; Hastings I.; Donnelly M.J.","Lynd","","Field; genetic; and modeling approaches show strong positive selection acting upon an insecticide resistance mutation in anopheles gambiae s.s.","","invertebrate","Anopheles gambiae","pesticide; anthropogenic","reduced representation","repeated","6","72","anthropogenic"
"86","10.1093_molbev_mst205.pdf",94,"Yes","No","No","No","Yes","No","Yes","","tobler","yes","Are most candidate genes false positives in E&R drosophila studies?","yes","multiple_temporal","temperature; experimental","","yes",NA,NA,NA,"",87,"10.1093/molbev/mst205",2014,"Tobler R.; Franssen S.U.; Kofler R.; Orozco-Terwengel P.; Nolte V.; Hermisson J.; Schl√∂tterer C.","Tobler","adaptation; D. melanogaster; evolutionary genomics; experimental evolution; next-generation sequencing; standing genetic variation","massive habitat-specific genomic response in d. melanogaster populations during experimental evolution in hot and cold environments","Time scale years calculated from 10.1007/978-1-59745-365-3_3","invertebrate","Drosophila melanogaster","experimental","poolseq","experimental",NA,"15","experimental"
"89","10.1093_molbev_msu256.pdf",97,"Yes","Yes","No","Yes","Yes","No","No","danny","burke","yes","Does evolution act in parallel in a sexual species of yeast and if so, what drives it?","Yes and standing genetic variation drives it","multiple_temporal","lab domestication; experimental","allele frequency over time","yes",NA,"","","",90,"10.1093/molbev/msu256",2014,"Burke M.K.; Liti G.; Long A.D.","Burke","experimental evolution; population genomics; quantitative trait loci","standing genetic variation drives repeatable experimental evolution in outcrossing populations of saccharomyces cerevisiae","","microbes","Saccharomyces cerevisiae","experimental","WGS","experimental",NA,"540","experimental"
"90","10.1093_molbev_msu320.pdf",98,"Yes","No","No","No","No","No","Yes","","frannsen","yes","What role does LD play during lab selection experiments?","LD plays a major role and can lead to large lists of candidate genes full of false positives","multiple_temporal","heat; experimental","allele frequency change","yes","yes",NA,NA,"",91,"10.1093/molbev/msu320",2015,"Franssen S.U.; Nolte V.; Tobler R.; Schlotterer C.","Franssen","","Patterns of linkage disequilibrium and long range hitchhiking in evolving experimental drosophila melanogaster populations","","invertebrate","Drosophila melanogaster","experimental","poolseq","experimental","#N/A","67","experimental"
"91","10.1093_molbev_msv033.pdf",99,"Yes","No","No","No","No","Yes","Yes","","bailey","yes","Does selection environment lead to parallel evolution in bacteria?","yes, with varying degrees of parallelism","multiple_temporal","sugar type","novel mutation","yes","yes",NA,NA,"",92,"10.1093/molbev/msv033",2015,"Bailey; SF; Rodrigue; N; Kassen; R","Bailey","parallel evolution; experimental evolution; Pseudomonas fluorescens; selection environment; environmental heterogeneity","the effect of selection environment on the probability of parallel evolution","","microbes","pseudomonas fluorescens","experimental","WGS","experimental",NA,"1000","experimental"
"92","10.1093_molbev_msv248.pdf",100,"Yes","No","No","Yes","No","Yes","Yes","danny","jha","yes","How do Drosophila evolve in response to low oxygen, and do the affected genes overlap with selected genes in high altitude human populations?","candidate gene list; yes some do","multiple_temporal","hypoxia","allele frequency change, glmm, PBS","yes",NA,"","","",93,"10.1093/molbev/msv248",2016,"Jha A.R.; Zhou D.; Brown C.D.; Kreitman M.; Haddad G.G.; White K.P.","Jha","adaptation; complex traits; evolution; evolve and resequence; experimental evolution; high-altitude adaptation; hypoxia; polygenic traits; pooled sequencing","shared genetic signals of hypoxia adaptation in drosophila and in high-altitude human populations","Time scale years calculated from 10.1007/978-1-59745-365-3_3","invertebrate","Drosophila melanogaster","experimental","poolseq","experimental",NA,"17","experimental"
"94","10.1093_molbev_msx247.pdf",102,"Yes","Yes","Yes","Yes","No","Yes","Yes","danny","seabra","yes","Do samples from different populations evolve differently in the lab?","yes","multiple_temporal","lab domestication; experimental","CMH, ANCOVA","yes",NA,"","","",95,"10.1093/molbev/msx247",2018,"Seabra; Sofia G.; Fragata; Ines; Antunes; Marta A.; Faria; Goncalo S.; Santos; Marta A.; Sousa; Vitor C.; Simoes; Pedro; Matos; Margarida","Seabra","","Different Genomic Changes Underlie Adaptive Evolution in Populations of Contrasting History","","invertebrate","","experimental","WGS","experimental","#N/A","50","experimental"
"95","10.1093_molbev_msx254.pdf",103,"Yes","No","No","Yes","Yes","Yes","Yes","danny","hardy","yes","What is the genetic basis of stavation-selected obesity in drosophila?","candidate gene list","multiple_temporal","starvation","heterozygosity, fst","yes",NA,"","","",96,"10.1093/molbev/msx254",2018,"Hardy C.M.; Burke M.K.; Everett L.J.; Han M.V.; Lantz K.M.; Gibbs A.G.","Hardy","Drosophila melanogaster; evolve and resequence; experimental evolution; metabolism; obesity; starvation selection","genome-wide analysis of starvation-selected drosophila melanogaster-a genetic model of obesity","","invertebrate","Drosophila melanogaster","experimental","poolseq","experimental",NA,"83","experimental"
"96","10.1093_molbev_msz183.pdf",104,"Yes","No","No","No","No","No","Yes","","vlachos","yes","Does gradually increasing the selection strength throughout an E&R iincrease the power to detect alleles?","yes","simulation","simulation","CMH",NA,"",NA,NA,"",97,"10.1093/molbev/msz183",2019,"Vlachos C.; Kofler R.","Vlachos","evolve and resequence; experimental evolution; forward simulations; GWAS; population genetics; quantitative genetics","optimizing the power to identify the genetic basis of complex traits with evolve and resequence studies","simulation; has implications for experimental design of E&R studies",NA,NA,NA,NA,NA,NA,NA,NA
"98","10.1093_ve_veae012.pdf",106,"Yes","No","No","Yes","No","No","Yes","danny","courcelle","yes","Have different lineages of PPRV evolved under different selection regimes?","yes","multiple_temporal","competition; epidemic","fixed effect likelihood (FEL), fast unconstrained Bayesian approximation (FUBAR) and mixed methods model of evolution (MEME), branch-site unrestricted statistical test for episodic diversification (BUSTED), RELAX","yes",NA,"","","",99,"10.1093/ve/veae012",2024,"Courcelle; M; Salami; H; Tounkara; K; Lo; MM; Ba; A; Diop; M; Niang; M; Sidibe; CA; Sery; A; Dakouo; M; Kaba; L; Sidime; Y; Keyra; M; Diallo; AOS; El Mamy; AB; El Arbi; AS; Barry; Y; Isselmou; E; Habiboullah; H; Doumbia; B; Gueya; MB; Awuni; J; Odoom; T; Ababio; PT; Tawiahyingar; DNY; Coste; C; Guendouz; S; Kwiatek; O; Libeau; G; Bataille; A","Courcelle","morbillivirus; phylogenetics; evolution; small ruminants; epizootic; endemic","comparative evolutionary analyses of peste des petits ruminants virus genetic lineages","","virus","peste des petits ruminants virus","host-pathogen","poolseq","historical","38",NA,"host-pathogen"
"99","10.1093_ve_vex035.pdf",107,"Yes","No","No","No","Yes","No","Yes","","carratala","yes","Do pathogens develop resistance to UV exposure?","yes","multiple_temporal","UV","novel mutation","yes",NA,NA,NA,"",100,"10.1093/ve/vex035",2017,"Carratal√†; A; Shim; H; Zhong; QX; Bachmann; V; Jensen; JD; Kohn; T","Carratal√†","virus; experimental evolution; ultraviolet radiation; disinfection; ribavirin; resistance","experimental adaptation of human echovirus 11 to ultraviolet radiation leads to resistance to disinfection and ribavirin","","virus","human echovirus 11","experimental","WGS","experimental","0.164","200","experimental"
"100","10.1093_ve_vez020.pdf",108,"Yes","No","Yes","Yes","No","No","Yes","danny","bialosuknia","yes","How has west nile virus evolved in NY state?","Largely purging selection, some regions experience positive selection","multiple_temporal","epidemic","dn/ds","yes",NA,NA,NA,NA,101,"10.1093/ve/vez020",2019,"Bialosuknia; SM; Tan; Y; Zink; SD; Koetzner; CA; Maffei; JG; Halpin; RA; Mueller; EA; Novotny; M; Shilts; M; Fedorova; NB; Amedeo; P; Das; SR; Pickett; B; Kramer; LD; Ciota; AT","Bialosuknia","West Nile virus; viral evolution; intrahost diversity; displacement","evolutionary dynamics and molecular epidemiology of west nile virus in new york state: 1999-2015","","virus","west nile virus","host-pathogen","WGS","historical","15",NA,"host-pathogen"
"102","10.1098_rspb.2021.0577.pdf",110,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Ally","Stahlke","yes","Is devil facial tumor disease a novel selective force?","Results suggest that this is a novel selective force","multiple_temporal","disease; natural evolution","dN/dS; allele shifts, GO enrichment anaylsis, branch-site test, ","yes",NA,NA,NA,"",103,"10.1098/rspb.2021.0577",2021,"Stahlke A.R.; Epstein B.; Barbosa S.; Margres M.J.; Patton A.H.; Hendricks S.A.; Veillet A.; Fraik A.K.; Sch√∂nfeld B.; McCallum H.I.; Hamede R.; Jones M.E.; Storfer A.; Hohenlohe P.A.","Stahlke","conservation genomics; molecular evolution; RAD-capture; rapid evolution; transmissible cancer; wildlife disease","contemporary and historical selection in tasmanian devils (sarcophilus harrisii) support novel; polygenic response to transmissible cancer","HELP","vertebrate","sarcophilus harrisii","host-pathogen","reduced representation","historical","15","8","host-pathogen"
"103","10.1098_rspb.2022.1857.pdf",111,"Yes","No","Yes","Yes","No","No","Yes","henrey","Burney","yes","what is the impact of multiple stressors on ","multiple stressors have synergistic effects","multiple temporal","temperature and laboratory conditions","allele frequency changes","no",NA,NA,NA,"",104,"10.1098/rspb.2022.1857",2022,"Burny C.; Nolte V.; Dolezal M.; Schl√∂tterer C.","Burny","Drosophila melanogaster; experimental evolution; local adaptation; parallel evolution; temperature adaptation","genome-wide selection signatures reveal widespread synergistic effects of two different stressors in drosophila melanogaster","","invertebrate","Drosophila melanogaster","experimental","reduced representation","experimental",NA,"20","experimental"
"104","10.1098_rstb.2022.0190.pdf",112,"Yes","No","No","Yes","No","No","Yes","Ally","Reid","yes","Will parralel polygenic selection occur in atlantic cod in 2 separate populationsg in response to long-term intensive fishing pressure?","found evidence for parallel evolution","multiple_spatial & simulation","overfishing; anthropogenic","allele frequnecy change; convergent correlation stat","no",NA,NA,NA,"",105,"10.1098/rstb.2022.0190",2023,"Reid B.N.; Star B.; Pinsky M.L.","Reid","convergence; fisheries-induced evolution; parallel adaptation","detecting parallel polygenic adaptation to novel evolutionary pressure in wild populations: a case study in atlantic cod (gadus morhua)","Time scale generation from https://www.fishbase.se/summary/gadus-morhua.html#:~:text=Generation%20time%3A%207.7%20(7.1%20%2D;based%20on%2057%20growth%20studies.","vertebrate","Gadus morhua","natural evolution","simulation","historical","107","14","natural evolution"
"106","10.1099_MGEN.0.000553.pdf",113,"Yes","No","No","No","No","No","Yes","","leyn","yes","How does e coli evolve in response to antibiotics, specifically triclosan?","missnese in fabI gene; candidate gene list","multiple_temporal","antibiotics","muller plots","yes","yes",NA,NA,"",107,"10.1099/MGEN.0.000553",2021,"Leyn S.A.; Zlamal J.E.; Kurnasov O.V.; Li X.; Elane M.; Myjak L.; Godzik M.; de Crecy A.; Garcia-Alcalde F.; Ebeling M.; Osterman A.L.","Leyn","","Experimental evolution in morbidostat reveals converging genomic trajectories on the path to triclosan resistance","","bacteria","E coli","experimental","WGS","experimental","0.02191781","288","experimental"
"113","10.1111_eva.13656.pdf",120,"Yes","No","No","Yes","Yes","No","Yes","Ally","Howe","yes","To what extent does domestication selection act on the salmon genome?","Domestication selection has a significant impact on the genome and can cause farm raised salmons to be significantly different from their wild counter parts in just a few generations","multiple_spatial","domestication; farming; anthropogenic","Fst; local scores; fischer's exact test","no",NA,NA,NA,"",114,"10.1111/eva.13656",2024,"Howe; NS; Hale; MC; Waters; CD; Schaal; SM; Shedd; KR; Larson; WA","Howe","domestication selection; hatchery; low-coverage whole-genome sequencing; rapid adaptation; salmon; Southeast Alaska","genomic evidence for domestication selection in three hatchery populations of chinook salmon; oncorhynchus tshawytscha","","vertebrate","Oncorhynchus tshawytscha","domestication; anthropogenic","WGS","historical","32","9","anthropogenic"
"114","10.1111_evo.12849.pdf",121,"Yes","No","No","No","No","No","Yes","","phillips","yes","Does selection to glucose systematically increase lactose evolvaability?","yes","multiple_temporal","nutrient limitation; experimental","novel mutation identification","yes","yes",NA,NA,"",115,"10.1111/evo.12849",2016,"Phillips K.N.; Castillo G.; W√ºnsche A.; Cooper T.F.","Phillips","Adaptation; Evolvability; Experimental evolution","adaptation of escherichia coli to glucose promotes evolvability in lactose","","microbes","escherichia coli","experimental","WGS","experimental",NA,"3000","experimental"
"115","10.1111_gcb.17126.pdf",123,"Yes","No","No","No","No","No","Yes","","benham","yes","Do alleles associated with local adaptation to tidal marshes resist gene flow from inland populations? / does selection prevent gene flow?","no","multiple_temporal","gene flow resulting from urbanization; anthropogenic","test for correlation between historical deviation in allele frequency and change in allele frequency through time for each SNP","","",NA,NA,"",116,"10.1111/gcb.17126",2024,"Benham; Phred M.; Walsh; Jennifer; Bowie; Rauri C. K.","Benham","","Spatial variation in population genomic responses to over a century of anthropogenic change within a tidal marsh songbird","","vertebrate","Bird","anthropogenic","reduced representation","historical","128","48","anthropogenic"
"117","10.1111_jeb.13764.pdf",125,"Yes","No","Yes","No","Yes","No","Yes","Ally","Selveshwari","yes","Will the same selective pressue result in different evolutionary responses?","Some genes are shared between lines, but changing the selective pressue at different physiological states lead to different genes evolving","multiple_spatial","UV; different growth phases; experimental evolution","dN/dS; functional grouping of mutations","yes",NA,NA,NA,"",118,"10.1111/jeb.13764",2021,"Selveshwari S.; Lele K.; Dey S.","Selveshwari","antibiotic resistance; evolve and resequence; exponential phase; lag phase; UV damage","genomic signatures of uv resistance evolution in escherichia coli depend on the growth phase during exposure","","microbes","Escherichia coli","experimental","poolseq","experimental",NA,"7,200","experimental"
"118","10.1111_jeb.14152.pdf",126,"Yes","No","No","No","No","No","Yes","","johnson","yes","Is evolution in response to drought parallel?","no","multiple_temporal","drought; experimental","SNP frequency shifts; BayPass","yes","yes",NA,NA,"",119,"10.1111/jeb.14152",2023,"Johnson S.E.; Tittes S.; Franks S.J.","Johnson","Brassica rapa; drought adaptation; experimental evolution; parallel evolution; rapid evolution; resurrection approach","rapid; nonparallel genomic evolution of brassica rapa (field mustard) under experimental drought","","plant","Brassica rapa","experimental","reduced representation","experimental",NA,"6","experimental"
"119","10.1111_mec.12260.pdf",127,"Yes","No","No","No","No","No","Yes","","therkildsen","yes","What genomic signatures are detected over time; are they parallel between populations","candidate gene list","multiple_temporal","overfishing; anthropogenic","bayescan; Fdist","yes","yes",NA,NA,"",120,"10.1111/mec.12260",2013,"Therkildsen N.O.; Hemmer-Hansen J.; Als T.D.; Swain D.P.; Morgan M.J.; Trippel E.A.; Palumbi S.R.; Meldrup D.; Nielsen E.E.","Therkildsen","fisheries-induced evolution; Gadus morhua; genome scan; historical DNA; selection; temporal","microevolution in time and space: snp analysis of historical dna reveals dynamic signatures of selection in atlantic cod","","vertebrate","gadus morhua","anthropogenic","reduced representation","repeated","80","9","anthropogenic"
"120","10.1111_mec.13615.pdf",128,"Yes","No","No","No","No","Yes","Yes","","franks","yes","Evolution of Brassica rapa in response to drought","candidate gene list","multiple_temporal","drought","fst; tajima's d","yes","yes",NA,NA,"",121,"10.1111/mec.13615",2016,"Franks S.J.; Kane N.C.; O'Hara N.B.; Tittes S.; Rest J.S.","Franks","adaptation; Brassica rapa; climate change; contemporary evolution; natural selection; population genomics; rapid evolution","rapid genome-wide evolution in brassica rapa populations following drought revealed by sequencing of ancestral and descendant gene pools","generation time 24 days from 10.1111/j.1558-5646.1995.tb04439.x","plant","brassica rapa","natural evolution","poolseq","historical","7","106.45","natural evolution"
"121","10.1111_mec.15085.pdf",131,"Yes","No","No","Yes","Yes","No","Yes","danny","r�go","yes","Is selection acting in parallel on seed beetles that are adapting to a marginal host plant","yes, mostly","multiple_temporal","symbioses","allele frequency change, relative selection coefficient","no",NA,"In particular, the average intensity of selec_ tion was 0.388 in L14 from P to F4, and 0.207 and 0.211 in sublines A and B between the F4 and F16 generations ","","",122,"10.1111/mec.15085",2019,"R√™go A.; Messina F.J.; Gompert Z.","R√™go","approximate Bayesian computation; Callosobruchus maculatus; evolutionary rescue; evolve and resequence; experimental evolution; parallel evolution","dynamics of genomic change during evolutionary rescue in the seed beetle callosobruchus maculatus","","invertebrate","Callosobruchus maculatus","host-pathogen","reduced representation","experimental","1.15","100","host-pathogen"
"122","10.1111_mec.15579.pdf",132,"Yes","No","No","Yes","Yes","No","No","henrey","Langmuller","yes","what is the minimum number of generations needed to observe complex adaptation in evolve and resequence experiments","only a subset of selection targets are detected early in the experiment","multiple temporal","heat; experimental","ROC-like curve","yes",NA,NA,NA,"",123,"10.1111/mec.15579",2020,"Langm√ºller A.M.; Schl√∂tterer C.","Langm√ºller","","Low concordance of short-term and long-term selection responses in experimental Drosophila populations","","invertebrate","Drosophila simulans","experimental","poolseq","experimental","#N/A","60","experimental"
"123","10.1111_mec.15687.pdf",133,"Yes","Yes","No","No","Yes","No","Yes","danny","phillips","yes","How does the number of time points sampled affect the identification of candidate regions that experienced selection?","8 time points is beneficial but not beyond that; some alleles have constant selection coefficients and some have dynamic","multiple_temporal","nutrient limitation; experimental","CLEAR; allele frequency change; CMH","yes",NA,NA,NA,NA,124,"10.1111/mec.15687",2020,"Phillips M.A.; Kutch I.C.; Long A.D.; Burke M.K.","Phillips","adaptation; experimental evolution; genomics; population genomics","increased time sampling in an evolve-and-resequence experiment with outcrossing saccharomyces cerevisiae reveals multiple paths of adaptive change","","microbes","Saccharomyces cerevisiae","experimental","poolseq","experimental","18 weeks","540","experimental"
"125","10.1111_mec.16451.pdf",135,"Yes","No","No","No","No","Yes","Yes","","abdullahi","yes","How does historical exposure to chemicals affect future tolerance to chemicals in Daphnia?","candidate gene list","multiple_temporal","pollution; anthropogenic","alpha and beta snp diversity","incomprehensible","",NA,NA,"",126,"10.1111/mec.16451",2022,"Abdullahi M.; Zhou J.; Dandhapani V.; Chaturvedi A.; Orsini L.","Abdullahi","","historical exposure to chemicals reduces tolerance to novel chemical stress in daphnia (waterflea)","Resurrection experiment; Assumes a generation per year","invertebrate","Daphnia magna","pollution; anthropogenic","WGS","historical","50","50","anthropogenic"
"126","10.1111_mec.16748.pdf",137,"Yes","Yes","No","Yes","No","Yes","Yes","danny","pfenninger","yes","How did a cold snap affect genomic diversity in a biting midge population?","candidate gene list","multiple_temporal","cold temperature","tajima's d","yes",NA,NA,NA,NA,127,"10.1111/mec.16748",2023,"Pfenninger M.; Foucault Q.; Waldvogel A.-M.; Feldmeyer B.","Pfenninger","","Selective effects of a short transient environmental fluctuation on a natural population","","invertebrate","Chironomus riparius","natural evolution","WGS","repeated","0.5 or 0.58333333","6.5","natural evolution"
"129","10.1111_mec.17274.pdf",140,"Yes","No","No","Yes","No","No","Yes","henrey","Kellner","yes","What genomic effects have a population bottleneck had on reindeer in Svalbard?","many regions of the genome experienced selection pre-and during hunting, but now they are undergoing drift","multiple temporal","hunting; anthropogenic","Fay and Wu's H, Fst","yes",NA,NA,NA,"",130,"10.1111/mec.17274",2024,"Kellner; FL; Le Moullec; M; Ellegaard; MR; Rosvold; J; Peeters; B; Burnett; HA; Pedersen; AO; Brealey; JC; Dussex; N; Bieker; VC; Hansen; BB; Martin; MD","Kellner","ancient DNA; bottleneck; conservation genomics; genomic erosion; population genomics; Svalbard reindeer","a palaeogenomic investigation of overharvest implications in an endemic wild reindeer subspecies","Generation time from https://www.cell.com/iscience/fulltext/S2589-0042(23)01888-6","vertebrate","Rangifer tarandus platyrhynchus","overharvest; anthropogenic","WGS","historical","2,500","417","anthropogenic"
"130","10.1126_sciadv.aax0530.pdf",141,"Yes","No","Yes","Yes","Yes","No","Yes","danny","retel","yes","What role does selection play in host-virus coevolution?","candidate gene list","multiple_temporal","host-pathogen","allele frequency change","yes",NA,NA,NA,NA,131,"10.1126/sciadv.aax0530",2019,"Retel C.; Kowallik V.; Huang W.; Werner B.; K√ºnzel S.; Becks L.; Feulner P.G.D.","Retel","","The feedback between selection and demography shapes genomic diversity during coevolution","","microbes","","host-pathogen","WGS","experimental","0.2739726 or 100","100","host-pathogen"
"135","10.1128_JVI.02055-14.pdf",146,"Yes","No","Yes","Yes","No","No","Yes","danny","boyle","yes","How has bluetongue virus evolved in Northern Australia?","Largely purging selection, some regions experience positive selection","multiple_temporal","epidemic","MEME, SLAC, FEL, IFEL, REL, and FUBAR","yes",NA,NA,NA,NA,136,"10.1128/JVI.02055-14",2014,"Boyle D.B.; Amos-Ritchie R.; Broz I.; Walker P.J.; Melville L.; Flanagan D.; Davis S.; Hunt N.; Weir R.","Boyle","","Evolution of bluetongue virus serotype 1 in northern Australia over 30 years","","virus","Bluetongue virus","host-pathogen","WGS","historical","30 or 32","#N/A","host-pathogen"
"136","10.1128_mBio.00987-21.pdf",147,"Yes","No","No","No","No","No","Yes","","zlamal","yes","Is the evolution to drug resistance parallel in three Gram-negative bacteria species?","In some ways yes and in other ways no; shared genes","multiple_temporal","antibiotics","novel mutation identification; minimum inhibitory concentration analyses of mutations","yes","yes",NA,NA,"",137,"10.1128/mBio.00987-21",2021,"Zlamal; Jaime E.; Leyn; Semen A.; Iyer; Mallika; Elane; Marinela L.; Wong; Nicholas A.; Wamsley; James W.; Vercruysse; Maarten; Garcia-Alcalde; Fernando; Osterman; Andrei L.","Zlamal","","Shared and Unique Evolutionary Trajectories to Ciprofloxacin Resistance in Gram-Negative Bacterial Pathogens","","bacteria","E coli; Acinetobacter baumannii; Pseudomonas aeruginosa","experimental","WGS","experimental","0.010958904","288","experimental"
"138","10.1128_msystems.01477-21.pdf",149,"Yes","Yes","Yes","Yes","No","No","No","danny","hwang","yes","How does selection act on a microbe in different environments? Does it act on whole genomes or genes?","Largely through effects on regulatory genes","multiple_spatial","natural evolution","pN/pS; Fst","yes",NA,"","","",139,"10.1128/msystems.01477-21",2022,"Hwang; Yunha; Girguis; Peter R.","Hwang","","Differentiated Evolutionary Strategies of Genetic Diversification in Atlantic and Pacific Thaumarchaeal Populations","","bacteria","","natural evolution","metagenomics","repeated","2 or 1","#N/A","natural evolution"
"141","10.1186_1471-2148-13-46.pdf",152,"Yes","No","No","No","No","No","Yes","","bedhomme","yes","What impact does historical contingency have on evolution?","It impacts genotype but not phenotype","multiple_temporal","historical contingency",NA,NA,"",NA,NA,"",142,"10.1186/1471-2148-13-46",2013,"Bedhomme S.; Lafforgue G.; Elena S.F.","Bedhomme","","genotypic but not phenotypic historical contingency revealed by viral experimental evolution","could not find generation time of this virus","virus","tobacco etch potyvirus","host-pathogen","WGS","experimental","0.287",NA,"host-pathogen"
"142","10.1186_s12711-024-00900-y.pdf",153,"Yes","No","No","Yes","No","No","No","danny","somenzi","yes","How did selection act on a unique Italian cattle breed?","milk and meat production, environmental adaptation, immune response","multiple_temporal","breeding; anthropogenic","EHH, decay of haplotype homozygosity as genetic distance increases","yes",NA,"","","",143,"10.1186/s12711-024-00900-y",2024,"Somenzi E.; Partel E.; Barbato M.; Chero Osorio A.M.; Colli L.; Franceschi N.; Mantovani R.; Pilla F.; Komjanc M.; Achilli A.; Hauffe H.C.; Ajmone Marsan P.","Somenzi","","genetic legacy and adaptive signatures: investigating the history; diversity; and selection signatures in rendena cattle resilient to eighteenth century rinderpest epidemics","","vertebrate","Bos primigenius","anthropogenic","reduced representation","historical","18","4.5","anthropogenic"
"143","10.1186_s12862-016-0662-8.pdf",154,"Yes","No","No","No","No","No","Yes","","plucain","yes","What impact does historical contingency have on evolution?","It impacts it","multiple_temporal","historical contingency",NA,NA,"",NA,NA,"",144,"10.1186/s12862-016-0662-8",2016,"Plucain J.; Suau A.; Cruveiller S.; M√©digue C.; Schneider D.; Le Gac M.","Plucain","Adaptation; Epistasis; Escherichia coli; Experimental evolution; Historical contingency","contrasting effects of historical contingency on phenotypic and genomic trajectories during a two-step evolution experiment with bacteria","","microbes","escherichia coli","experimental","WGS","experimental","0.341","1000","experimental"
"144","10.1186_s12862-021-01789-7.pdf",155,"Yes","Yes","No","Yes","No","Yes","Yes","Ally","o'hara","yes","Did a drought cause selection on genes related to fungal pathogen resistance in Brassica rapa?","yes","multiple_temporal","climate change; anthropogenic","Fst, Tajima's D","yes",NA,"","","",145,"10.1186/s12862-021-01789-7",2021,"O‚ÄôHara N.B.; Franks S.J.; Kane N.C.; Tittes S.; Rest J.S.","O‚ÄôHara","Alternaria brassicae; Brassica rapa; Climate change; Drought; Necrotrophic fungal pathogen response; Resurrection approach","evolution of pathogen response genes associated with increased disease susceptibility during adaptation to an extreme drought in a brassica rapa plant population","Resurrection experiment","plant","Brassica rapa","climate change; anthropogenic","WGS","historical","27","27","anthropogenic"
