,File.Name,doi,year,authors,first_author.y,keywords,Title,Notes,Study.system,Taxon,Driver.of.change,Data.type,Experimental.design,Time.scale.years,Time.scale.generations,Driver.of.change.std
111,10.1111_1755-0998.13837.pdf,10.1111/1755-0998.13837,2023,Novo; I; P√©rez-Pereira; N; Santiago; E; Quesada; H; Caballero; A,Novo,effective population size; genetic drift; inbreeding; SNPs,an empirical test of the estimation of historical effective population size using drosophila melanogaster,,invertebrate,Drosophila melanogaster,experimental,WGS,experimental,NA,15,experimental
115,10.1111_evo.12849.pdf,10.1111/evo.12849,2016,Phillips K.N.; Castillo G.; W√ºnsche A.; Cooper T.F.,Phillips,Adaptation; Evolvability; Experimental evolution,adaptation of escherichia coli to glucose promotes evolvability in lactose,,microbes,escherichia coli,experimental,WGS,experimental,NA,3000,experimental
137,10.1128_mBio.00987-21.pdf,10.1128/mBio.00987-21,2021,Zlamal; Jaime E.; Leyn; Semen A.; Iyer; Mallika; Elane; Marinela L.; Wong; Nicholas A.; Wamsley; James W.; Vercruysse; Maarten; Garcia-Alcalde; Fernando; Osterman; Andrei L.,Zlamal,,Shared and Unique Evolutionary Trajectories to Ciprofloxacin Resistance in Gram-Negative Bacterial Pathogens,,bacteria,E coli; Acinetobacter baumannii; Pseudomonas aeruginosa,experimental,WGS,experimental,0.010958904,288,experimental
144,10.1186_s12862-016-0662-8.pdf,10.1186/s12862-016-0662-8,2016,Plucain J.; Suau A.; Cruveiller S.; M√©digue C.; Schneider D.; Le Gac M.,Plucain,Adaptation; Epistasis; Escherichia coli; Experimental evolution; Historical contingency,contrasting effects of historical contingency on phenotypic and genomic trajectories during a two-step evolution experiment with bacteria,,microbes,escherichia coli,experimental,WGS,experimental,0.341,1000,experimental
155,10.1371_journal.pbio.2001586.pdf,10.1371/journal.pbio.2001586,2017,Yen P.; Papin J.A.,Yen,,History of antibiotic adaptation influences microbial evolutionary dynamics during subsequent treatment,,bacteria,Pseudomonas aerguinosa,experimental,WGS,experimental,0.05479452 or 0.109589041,180 or 960,experimental
158,10.1371_journal.pgen.1011333.pdf,10.1371/journal.pgen.1011333,2024,Zion S.; Katz S.; Hershberg R.,Zion,,escherichia coli adaptation under prolonged resource exhaustion is characterized by extreme parallelism and frequent historical contingency,,microbes,escherichia coli,experimental,WGS,experimental,6,26280,experimental
166,10.15252_msb.20188462.pdf,10.15252/msb.20188462,2019,Guzm√°n G.I.; Sandberg T.E.; LaCroix R.A.; Nyerges √Å.; Papp H.; de Raad M.; King Z.A.; Hefner Y.; Northen T.R.; Notebaart R.A.; P√°l C.; Palsson B.O.; Papp B.; Feist A.M.,Guzm√°n,,Enzyme promiscuity shapes adaptation to novel growth substrates,,bacteria,E coli,experimental,WGS,experimental,#N/A,350 or 20,experimental
167,10.1534_g3.115.023200.pdf,10.1534/g3.115.023200,2016,Shim H.; Laurent S.; Matuszewski S.; Foll M.; Jensen J.D.,Shim,Approximate Bayesian computation; Change point analysis; Fluctuating selection; Time-sampled data; Wright-Fisher model,detecting and quantifying changing selection intensities from time-sampled polymorphism data,,virus,influenza A,experimental,WGS,experimental,NA,13,experimental
47,10.1038_srep38915.pdf,10.1038/srep38915,2016,Antunes; Luciana Principal; Martins; Layla Farage; Pereira; Roberta Verciano; Thomas; Andrew Maltez; Barbosa; Deibs; Lemos; Leandro Nascimento; Machado Silva; Gianluca Major; Silva Moura; Livia Maria; Condomitti Epamino; George Willian; Digiampietri; Luciano Antonio; Lombardi; Karen Cristina; Ramos; Patricia Locosque; Quaggio; Ronaldo Bento; Franco de Oliveira; Julio Cezar; Pascon; Renata Castiglioni; da Cruz; Joao Batista; da Silva; Aline Maria; Setubal; Joao Carlos,Antunes,,Microbial community structure and dynamics in thermophilic composting viewed through metagenomics and metatranscriptomics,,microbes,,experimental,metagenomics,repeated,0.373584906,#N/A,experimental
146,10.1186_s12862-022-02083-w.pdf,10.1186/s12862-022-02083-w,2022,Muller-Girard; M; Fowles; G; Duchamp; J; Kouneski; S; Mollohan; C; Smyser; TJ; Turner; GG; Westrich; B; Doyle; JM,Muller-Girard,Reproductive skew; Inbreeding; Genetic restoration; Inbreeding depression; Translocation; Landscape genetics; Dispersal,a novel snp assay reveals increased genetic variability and abundance following translocations to a remnant allegheny woodrat population,discussed in lab; SNP panel; generation time from https://www.fs.usda.gov/database/feis/animals/mammal/neci/all.html#16 that references 16. Banfield; A. W. F. 1974. The mammals of Canada. Toronto; ON: University of Toronto Press. 438 p. [21084],vertebrate,neotoma magister,experimental,reduced representation,repeated,3,3.27,experimental
173,10.3390_genes11040400.pdf,10.3390/genes11040400,2020,R√™go A.; Chaturvedi S.; Springer A.; Lish A.M.; Barton C.L.; Kapheim K.M.; Messina F.J.; Gompert Z.,R√™go,Callosobruchus maculatus; Detoxification; Experimental evolution; Gene expression; Genome-wide association mapping; Host shift; Parallel evolution; Plant-insect interaction; Population genomics,combining experimental evolution and genomics to understand how seed beetles adapt to a marginal host plant,,invertebrate,Callosobruchus maculatus,host-pathogen,poolseq,experimental,,108,host-pathogen
102,10.1098_rspb.2015.0801.pdf,10.1098/rspb.2015.0801,2015,Morley V.J.; Mendiola S.Y.; Turner P.E.,Morley,Adaptation; Alphavirus; Contingency; Epistasis; Experimental evolution; Sindbis virus,rate of novel host invasion affects adaptability of evolving rna virus lineages,,virus,sindbis virus,host-pathogen,reduced representation,experimental,variable depending on treatment,variable depending on treatment,host-pathogen
122,10.1111_mec.15085.pdf,10.1111/mec.15085,2019,R√™go A.; Messina F.J.; Gompert Z.,R√™go,approximate Bayesian computation; Callosobruchus maculatus; evolutionary rescue; evolve and resequence; experimental evolution; parallel evolution,dynamics of genomic change during evolutionary rescue in the seed beetle callosobruchus maculatus,,invertebrate,Callosobruchus maculatus,host-pathogen,reduced representation,experimental,1.15,100,host-pathogen
63,10.1093_gbe_evac074.pdf,10.1093/gbe/evac074,2022,Schick A.; Shewaramani S.; Kassen R.,Schick,diversification; evolve-and-resequence experiments; nutrient adaptation; Pseudomonas aeruginosa; spatial structure,genomics of diversification of pseudomonas aeruginosa in cystic fibrosis lung-like conditions,Time scale years calculated from 10.1002/9780471729259.mc06e01s25,microbes,Pseudomonas aeruginosa,host-pathogen,WGS,experimental,0.038,220,host-pathogen
106,10.1099_jgv.0.000258.pdf,10.1099/jgv.0.000258,2015,Diaz A.; Enomoto S.; Romagosa A.; Sreevatsan S.; Nelson M.; Culhane M.; Torremorell M.,Diaz,,Genome plasticity of triple-reassortant H1N1 influenza A virus during infection of vaccinated pigs,,virus,Influenza,host-pathogen,WGS,experimental,0.07692308 or 0.038356164,#N/A,host-pathogen
131,10.1126_sciadv.aax0530.pdf,10.1126/sciadv.aax0530,2019,Retel C.; Kowallik V.; Huang W.; Werner B.; K√ºnzel S.; Becks L.; Feulner P.G.D.,Retel,,The feedback between selection and demography shapes genomic diversity during coevolution,,microbes,,host-pathogen,WGS,experimental,0.2739726 or 100,100,host-pathogen
142,10.1186_1471-2148-13-46.pdf,10.1186/1471-2148-13-46,2013,Bedhomme S.; Lafforgue G.; Elena S.F.,Bedhomme,,genotypic but not phenotypic historical contingency revealed by viral experimental evolution,could not find generation time of this virus,virus,tobacco etch potyvirus,host-pathogen,WGS,experimental,0.287,NA,host-pathogen
99,10.1093_ve_veae012.pdf,10.1093/ve/veae012,2024,Courcelle; M; Salami; H; Tounkara; K; Lo; MM; Ba; A; Diop; M; Niang; M; Sidibe; CA; Sery; A; Dakouo; M; Kaba; L; Sidime; Y; Keyra; M; Diallo; AOS; El Mamy; AB; El Arbi; AS; Barry; Y; Isselmou; E; Habiboullah; H; Doumbia; B; Gueya; MB; Awuni; J; Odoom; T; Ababio; PT; Tawiahyingar; DNY; Coste; C; Guendouz; S; Kwiatek; O; Libeau; G; Bataille; A,Courcelle,morbillivirus; phylogenetics; evolution; small ruminants; epizootic; endemic,comparative evolutionary analyses of peste des petits ruminants virus genetic lineages,,virus,peste des petits ruminants virus,host-pathogen,poolseq,historical,38,NA,host-pathogen
103,10.1098_rspb.2021.0577.pdf,10.1098/rspb.2021.0577,2021,Stahlke A.R.; Epstein B.; Barbosa S.; Margres M.J.; Patton A.H.; Hendricks S.A.; Veillet A.; Fraik A.K.; Sch√∂nfeld B.; McCallum H.I.; Hamede R.; Jones M.E.; Storfer A.; Hohenlohe P.A.,Stahlke,conservation genomics; molecular evolution; RAD-capture; rapid evolution; transmissible cancer; wildlife disease,contemporary and historical selection in tasmanian devils (sarcophilus harrisii) support novel; polygenic response to transmissible cancer,HELP,vertebrate,sarcophilus harrisii,host-pathogen,reduced representation,historical,15,8,host-pathogen
133,10.1128_JB.00587-20.pdf,10.1128/JB.00587-20,2021,Dicks J.; Turnbull J.D.; Russell J.; Parkhill J.; Alexander S.,Dicks,Enterotoxin gene family; Genome analysis; National Collection of Type Cultures; Staphylococcus aureus,genome sequencing of a historic staphylococcus aureus collection reveals new enterotoxin genes and sheds light on the evolution and genomic organization of this key virulence gene family,generation time varies extensively. this paper gives 80 min as long term average for nasal  colonization https://doi.org/10.1186/s12864-019-5604-6,microbes,staphylococcus aureus,host-pathogen,reduced representation,historical,92,604440,host-pathogen
6,10.1007_s00239-021-10008-2.pdf,10.1007/s00239-021-10008-2,2021,Hussain S.; Rasool S.T.; Pottathil S.,Hussain,,The Evolution of Severe Acute Respiratory Syndrome Coronavirus-2 during Pandemic and Adaptation to the Host,,virus,covid,host-pathogen,WGS,historical,0.5 or 0.333333333,24.333309,host-pathogen
9,10.1016_j.chaos.2020.110018.pdf,10.1016/j.chaos.2020.110018,2020,Pathan R.K.; Biswas M.; Khandaker M.U.,Pathan,,Time series prediction of COVID-19 by mutation rate analysis using recurrent neural network-based LSTM model,,virus,covid,host-pathogen,WGS,historical,0.33 or 0.41666667,#N/A,host-pathogen
11,10.1016_j.cub.2016.10.061.pdf,10.1016/j.cub.2016.10.061,2016,Duggan A.T.; Perdomo M.F.; Piombino-Mascali D.; Marciniak S.; Poinar D.; Emery M.V.; Buchmann J.P.; Duch√™ne S.; Jankauskas R.; Humphreys M.; Golding G.B.; Southon J.; Devault A.; Rouillard J.-M.; Sahl J.W.; Dutour O.; Hedman K.; Sajantila A.; Smith G.L.; Holmes E.C.; Poinar H.N.,Duggan,ancient DNA; evolution; Lithuanian Mummy Project; molecular clock; phylogeny; smallpox; variola virus,17th century variola virus reveals the recent history of smallpox,It's just one mummy but kind of cool; generation time 15 days https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2648660/,microbes,variola,host-pathogen,WGS,historical,324,7889.4,host-pathogen
12,10.1016_j.cub.2023.01.064.pdf,10.1016/j.cub.2023.01.064,2023,Eaton K.; Sidhu R.K.; Klunk J.; Gamble J.A.; Boldsen J.L.; Carmichael A.G.; Varlƒ±k N.; Duchene S.; Featherstone L.; Grimes V.; Golding G.B.; DeWitte S.N.; Holmes E.C.; Poinar H.N.,Eaton,ancient DNA; Black Death; phylogeography; plague; re-emerging infectious disease; Scandinavia; Yersinia pestis,emergence; continuity; and evolution of yersinia pestis throughout medieval and early modern denmark,,microbes,Yersina pestis,host-pathogen,WGS,historical,800,"5,606,400",host-pathogen
17,10.1016_j.jfma.2018.01.019.pdf,10.1016/j.jfma.2018.01.019,2019,Gong Y.-N.; Tsao K.-C.; Chen G.-W.,Gong,,Inferring the global phylodynamics of influenza A/H3N2 viruses in Taiwan,,virus,influenza,host-pathogen,WGS,historical,3 or 38,#N/A,host-pathogen
18,10.1016_j.jgg.2020.10.002.pdf,10.1016/j.jgg.2020.10.002,2020,Xu Y.; Kang L.; Shen Z.; Li X.; Wu W.; Ma W.; Fang C.; Yang F.; Jiang X.; Gong S.; Zhang L.; Li M.,Xu,,Dynamics of severe acute respiratory syndrome coronavirus 2 genome variants in the feces during convalescence,,virus,covid,host-pathogen,WGS,historical,0.01369863 or 1-5 days,#N/A,host-pathogen
21,10.1016_j.meegid.2019.03.016.pdf,10.1016/j.meegid.2019.03.016,2019,Arana A.; Jere K.C.; Chaguza C.; Montes M.; Alkorta M.; Iturriza-Gomara M.; Cilla G.,Arana,Acute gastroenteritis; G12 rotavirus; Rotavirus phylodynamics; Wa-like genetic backbone; Whole genome sequencing,molecular epidemiology of g12 rotavirus strains during eight consecutive epidemic seasons in the basque country (north of spain); 2010-2018,Feels kind of phylogeny oriented; can't find generation time,microbes,G12 Rotavirus,host-pathogen,WGS,historical,8,NA,host-pathogen
22,10.1016_j.meegid.2021.105153.pdf,10.1016/j.meegid.2021.105153,2022,Showers W.M.; Leach S.M.; Kechris K.; Strong M.,Showers,,Longitudinal analysis of SARS-CoV-2 spike and RNA-dependent RNA polymerase protein sequences reveals the emergence and geographic distribution of diverse mutations,,virus,covid,host-pathogen,WGS,historical,1,73,host-pathogen
30,10.1038_ncomms3172.pdf,10.1038/ncomms3172,2013,Martin M.D.; Cappellini E.; Samaniego J.A.; Zepeda M.L.; Campos P.F.; Seguin-Orlando A.; Wales N.; Orlando L.; Ho S.Y.W.; Dietrich F.S.; Mieczkowski P.A.; Heitman J.; Willerslev E.; Krogh A.; Ristaino J.B.; Gilbert M.T.P.,Martin,,reconstructing genome evolution in historic samples of the irish potato famine pathogen,gen time of 5 days 10.2478/v10032-012-0016-z,microbes,phytophthora infestans,host-pathogen,WGS,historical,168,11961.6,host-pathogen
34,10.1038_s41467-023-43391-z.pdf,10.1038/s41467-023-43391-z,2024,Pipek O.A.; Medgyes-Horv√°th A.; St√©ger J.; Papp K.; Visontai D.; Koopmans M.; Nieuwenhuijse D.; Oude Munnink B.B.; Cochrane G.; Rahman N.; Cummins C.; Yuan D.Y.; Selvakumar S.; Mansurova M.; O‚ÄôCathail C.; Sokolov A.; Thorne R.; Worp N.; Amid C.; Csabai I.,Pipek,,Systematic detection of co-infection and intra-host recombination in more than 2 million global SARS-CoV-2 samples,,virus,covid,host-pathogen,WGS,historical,2.5,130,host-pathogen
73,10.1093_molbev_msab147.pdf,10.1093/molbev/msab147,2021,Immel; A; Key; FM; Szolek; A; Barquera; R; Robinson; MK; Harrison; GF; Palmer; WH; Spyrou; MA; Susat; J; Krause-Kyora; B; Bos; KI; Forrest; S; Hernandez-Zaragoza; DI; Sauter; J; Solloch; U; Schmidt; AH; Schuenemann; VJ; Reiter; E; Kairies; MS; Weiss; R; Arnold; S; Wahl; J; Hollenbach; JA; Kohlbacher; O; Herbig; A; Norman; PJ; Krause; J,Immel,ancient DNA; aDNA; HLA; plague; Yersinia pestis; human immunity; natural selection,analysis of genomic dna from medieval plague victims suggests long-term effect of yersinia pestis on human immunity genes,,vertebrate,Homo sapiens,host-pathogen,WGS,historical,520,17,host-pathogen
101,10.1093_ve_vez020.pdf,10.1093/ve/vez020,2019,Bialosuknia; SM; Tan; Y; Zink; SD; Koetzner; CA; Maffei; JG; Halpin; RA; Mueller; EA; Novotny; M; Shilts; M; Fedorova; NB; Amedeo; P; Das; SR; Pickett; B; Kramer; LD; Ciota; AT,Bialosuknia,West Nile virus; viral evolution; intrahost diversity; displacement,evolutionary dynamics and molecular epidemiology of west nile virus in new york state: 1999-2015,,virus,west nile virus,host-pathogen,WGS,historical,15,NA,host-pathogen
108,10.1099_mgen.0.001170.pdf,10.1099/mgen.0.001170,2023,Aiewsakun P.; Jamsai B.; Phumiphanjarphak W.; Sawaengdee W.; Palittapongarnpim P.; Mahasirimongkol S.,Aiewsakun,COVID-19; genomic epidemiology; genomic surveillance; public health; spatiotemporal analysis; Thailand,spatiotemporal evolution of sars-cov-2 in the bangkok metropolitan region; thailand; 2020-2022: implications for future outbreak preparedness,,virus,covid-19,host-pathogen,WGS,historical,0.2,NA,host-pathogen
109,10.1099_mgen.0.001170.pdf,10.1099/mgen.0.001170,2023,Aiewsakun P.; Jamsai B.; Phumiphanjarphak W.; Sawaengdee W.; Palittapongarnpim P.; Mahasirimongkol S.,Aiewsakun,,Spatiotemporal evolution of SARS-CoV-2 in the Bangkok metropolitan region; Thailand; 2020‚Äì2022: implications for future outbreak preparedness,,virus,covid,host-pathogen,WGS,historical,3 or 1.8,131.4,host-pathogen
117,10.1111_jam.15806.pdf,10.1111/jam.15806,2022,Wassenaar T.M.; Wanchai V.; Ussery D.W.,Wassenaar,evolution; Monkeypox virus; outbreak; repeat; single nucleotide polymorphism,comparison of monkeypox virus genomes from the 2017 nigeria outbreak and the 2022 outbreak,generation time of 12.5 days sourced from: 10.3201/eid2810.221126,virus,monkeypox virus,host-pathogen,WGS,historical,57,1664.4,host-pathogen
134,10.1128_JVI.01080-14.pdf,10.1128/JVI.01080-14,2014,Nelson M.I.; Wentworth D.E.; Culhane M.R.; Vincent A.L.; Viboud C.; LaPointe M.P.; Lin X.; Holmes E.C.; Detmer S.E.,Nelson,,introductions and evolution of human-origin seasonal influenza a viruses in multinational swine populations,gen time 2.5 days https://academic.oup.com/aje/article/167/7/775/83777,virus,influenza A,host-pathogen,WGS,historical,9,1314,host-pathogen
135,10.1128_JVI.01519-08.pdf,10.1128/JVI.01519-08,2008,Bird B.H.; Githinji J.W.K.; Macharia J.M.; Kasiiti J.L.; Muriithi R.M.; Gacheru S.G.; Musaa J.O.; Towner J.S.; Reeder S.A.; Oliver J.B.; Stevens T.L.; Erickson B.R.; Morgan L.T.; Khristova M.L.; Hartman A.L.; Comer J.A.; Rollin P.E.; Ksiazek T.G.; Nichol S.T.,Bird,,multiple virus lineages sharing recent common ancestry were associated with a large rift valley fever outbreak among livestock in kenya during 2006-2007,Small relevant section: Evidence of interoutbreak RVF virus expansion and ongoing virus lineage evolution since the 1997-1998 epizootic/epidemic.; not sure generation time,microbes,Rift valley fever,host-pathogen,WGS,historical,10,NA,host-pathogen
138,10.1128_mSystems.00495-21.pdf,10.1128/mSystems.00495-21,2021,DebRoy S.; Sanson M.; Shah B.; Regmi S.; Vega L.A.; Odo C.; Sahasrabhojane P.; McGeer A.; Tyrrell G.J.; Fittipaldi N.; Shelburne S.A.; Flores A.R.,DebRoy,Evolution; Exotoxin; Genomics; Group A Streptococcus; M type; Population genetics; Virulence,population genomics of emm4 group a streptococcus reveals progressive replacement with a hypervirulent clone in north america,,microbes,group A Streptococcus (GAS),host-pathogen,WGS,historical,25,219000,host-pathogen
140,10.1128_spectrum.01219-22.pdf,10.1128/spectrum.01219-22,2022,Periwal N.; Rathod S.B.; Sarma S.; Johar G.S.; Jain A.; Barnwal R.P.; Srivastava K.R.; Kaur B.; Arora P.; Sood V.,Periwal,,Time Series Analysis of SARS-CoV-2 Genomes and Correlations among Highly Prevalent Mutations,,virus,covid,host-pathogen,WGS,historical,1.25 or 1.166666667,85.166691,host-pathogen
147,10.1186_s12864-016-3298-6.pdf,10.1186/s12864-016-3298-6,2016,Brown; TS; Narechania; A; Walker; JR; Planet; PJ; Bifani; PJ; Kolokotronis; SO; Kreiswirth; BN; Mathema; B,Brown,Mycobacterium tuberculosis; Whole genome sequencing; Phylogenomics; Surveillance,genomic epidemiology of lineage 4 mycobacterium tuberculosis subpopulations in new york city and new jersey; 1999-2009,Details really hard to find; no generation time reported,microbes,Mycobacterium tuberculosis ,host-pathogen,WGS,historical,10,NA,host-pathogen
148,10.1186_s12864-021-07700-4.pdf,10.1186/s12864-021-07700-4,2021,Peck L.D.; Nowell R.W.; Flood J.; Ryan M.R.; Barraclough T.G.,Peck,Comparative genomics; Effector; Fungi; Fusarium oxysporum; Host adaptation; Proteome,historical genomics reveals the evolutionary mechanisms behind multiple outbreaks of the host-specific coffee wilt pathogen fusarium xylarioides,can be dormant for up to 5-10 years,microbes,fusarium xylarioides,host-pathogen,WGS,historical,52,N/A,host-pathogen
150,10.1186_s12866-021-02158-6.pdf,10.1186/s12866-021-02158-6,2021,Iwasaki Y.; Abe T.; Ikemura T.,Iwasaki,,Human cell-dependent; directional; time-dependent changes in the mono- and oligonucleotide compositions of SARS-CoV-2 genomes,,virus,covid,host-pathogen,WGS,historical,0.83333333,60.8333333,host-pathogen
159,10.1371_journal.pntd.0011527.pdf,10.1371/journal.pntd.0011527,2023,Qin; JL; Shi; LY; Wu; YR; Kong; JJ; Qian; XW; Zhang; XLL; Zuo; XJ; Fan; H; Guo; Y; Cui; MN; Dong; SS; Tan; HL; Zhong; YH; Song; YJ; Yang; RF; Wang; P; Cui; YJ,Qin,,genomic epidemiological analysis of county-scale yersinia pestis spread pattern over 50 years in a southwest chinese prefecture,,microbes,Yersenia pestis,host-pathogen,WGS,historical,54,"378,400",host-pathogen
161,10.1371_journal.pone.0201838.pdf,10.1371/journal.pone.0201838,2018,Hubert J.-N.; Zerjal T.; Hospital F.,Hubert,,Cancer- and behavior-related genes are targeted by selection in the Tasmanian devil (Sarcophilus harrisii),,vertebrate,Mammal,host-pathogen,WGS,historical,15,7.5,host-pathogen
171,10.3201_eid1909.130377.pdf,10.3201/eid1909.130377,2013,Mann; BR; McMullen; AR; Swetnam; DM; Salvato; V; Reyna; M; Guzman; H; Bueno; R; Dennett; JA; Tesh; RB; Barrett; ADT,Mann,,continued evolution of west nile virus; houston; texas; usa; 2002-2012,,virus,west nile virus,host-pathogen,WGS,historical,10,NA,host-pathogen
172,10.3201_eid2701.191541.pdf,10.3201/eid2701.191541,2021,Dienstbier; A; Amman; F; Petr√°ckov√°; D; Stipl; D; Capek; J; Zavadilov√°; J; Fabi√°nov√°; K; Drzm√≠sek; J; Kumar; D; Wildung; M; Pouchnik; D; Vecerek; B,Dienstbier,,comparative omics analysis of historic and recent isolates of bordetella pertussis and effects of genome rearrangements on evolution,,microbes,bordetella pertussis,host-pathogen,WGS,historical,61,,host-pathogen
64,10.1093_gbe_evac153.pdf,10.1093/gbe/evac153,2022,Dyrhage K.; Garcia-Montaner A.; Tamarit D.; Seeger C.; N√§slund K.; Olofsson T.C.; Vasquez A.; Webster M.T.; Andersson S.G.E.,Dyrhage,,Genome Evolution of a Symbiont Population for Pathogen Defense in Honeybees,,microbes,,host-pathogen,metagenomics,repeated,0.25 or 0.333333333,3627.329193,host-pathogen
48,10.1073_pnas.1400378111.pdf,10.1073/pnas.1400378111,2014,Martins N.E.; Faria V.G.; Nolte V.; Schl√∂tterer C.; Teixeira L.; Sucena √â.; Magalh√£es S.,Martins,Drosophila immunity; Evolve and resequence; Experimental evolution; Host-parasite interactions,host adaptation to viruses relies on few genes with different cross-resistance properties,,invertebrate,Drosophila melanogaster,host-pathogen,poolseq,repeated,NA,35,host-pathogen
23,10.1016_j.meegid.2021.105184.pdf,10.1016/j.meegid.2021.105184,2022,Chen Q.-Y.; Jia H.-H.; Wang X.-Y.; Shi Y.-L.; Zhang L.-J.; Hu L.-P.; Wang C.; He X.; Harrison T.J.; Jackson J.B.; Wu L.; Fang Z.-L.,Chen,,Analysis of entire hepatitis B virus genomes reveals reversion of mutations to wild type in natural infection; a 15 year follow-up study,,virus,Hepatits B,host-pathogen,WGS,repeated,15,#N/A,host-pathogen
43,10.1038_s41564-022-01157-1.pdf,10.1038/s41564-022-01157-1,2022,Piel; Damien; Bruto; Maxime; Labreuche; Yannick; Blanquart; Francois; Goudenege; David; Barcia-Cruz; Ruben; Chenivesse; Sabine; Le Panse; Sophie; James; Adele; Dubert; Javier; Petton; Bruno; Lieberman; Erica; Wegner; K. Mathias; Hussain; Fatima A.; Kauffman; Kathryn M.; Polz; Martin F.; Bikard; David; Gandon; Sylvain; Rocha; Eduardo P. C.; Le Roux; Frederique,Piel,,Phage-host coevolution in natural populations,,bacteria/virus,,host-pathogen,WGS,repeated,0.416666667,#N/A,host-pathogen
52,10.1073_pnas.242608099.pdf,10.1073/pnas.242608099,2002,Tanaka Y.; Hanada K.; Mizokami M.; Yeo A.E.T.; Shih J.W.-K.; Gojobori T.; Alter H.J.,Tanaka,,A comparison of the molecular clock of hepatitis C virus in the United States and Japan predicts that hepatocellular carcinoma incidence in the United States will increase over the next two decades,,virus,Hepatits C,host-pathogen,WGS,repeated,7-21.6 or 15.1,#N/A,host-pathogen
53,10.1080_22221751.2022.2040921.pdf,10.1080/22221751.2022.2040921,2022,Wu X.; Zhao S.; Jiang Y.; Xiang X.; Ge L.; Chen Q.; Wang Y.; Vidal J.E.; Yu Y.,Wu,,Effect of pneumococcal conjugate vaccine availability on Streptococcus pneumoniae infections and genetic recombination in Zhejiang; China from 2009 to 2019,,bacteria,Pneumoccocal pneumonia,host-pathogen,WGS,repeated,10,104.2857143,host-pathogen
71,10.1093_infdis_jix298.pdf,10.1093/infdis/jix298,2017,Folkvardsen; Dorte Bek; Norman; Anders; Andersen; Ase Bengard; Rasmussen; Erik Michael; Jelsbak; Lars; Lillebaek; Troels,Folkvardsen,,Genomic Epidemiology of a Major <i>Mycobacterium tuberculosis</i> Outbreak: Retrospective Cohort Study in a Low-Incidence Setting Using Sparse Time-Series Sampling,,bacteria,Tuberculosis,host-pathogen,WGS,repeated,23,11193.33333,host-pathogen
141,10.1128_spectrum.03128-23.pdf,10.1128/spectrum.03128-23,2024,Chaar M.E.; Khoury Y.; Douglas G.M.; Kazzi S.E.; Jisr T.; Soussi S.; Merhi G.; Moghnieh R.A.; Shapiro B.J.,Chaar,,Longitudinal genomic surveillance of multidrug-resistant Escherichia coli carriage in critical care patients,,bacteria,E coli,host-pathogen,WGS,repeated,0.5 or 0.020547945,540,host-pathogen
162,10.1371_journal.ppat.1008298.pdf,10.1371/journal.ppat.1008298,2020,Pearson T.; Sahl J.W.; Hepp C.M.; Handady K.; Hornstra H.; Vazquez A.J.; Settles E.; Mayo M.; Kaestli M.; Williamson C.H.D.; Price E.P.; Sarovich D.S.; Cook J.M.; Wolken S.R.; Bowen R.A.; Tuanyok A.; Foster J.T.; Drees K.P.; Kidd T.J.; Bell S.C.; Currie B.J.; Keim P.,Pearson,,Pathogen to commensal? Longitudinal within-host population dynamics; evolution; and adaptation during a chronic >16-year Burkholderia pseudomallei infection,,bacteria,Burkholderia pseudomallei,host-pathogen,WGS,repeated,16,171624.4898,host-pathogen
175,10.3390_v11080720.pdf,10.3390/v11080720,2019,Kupczok A.; Dagan T.,Kupczok,,Rates of molecular evolution in a marine synechococcus phage lineage,,virus,Cyanophages,host-pathogen,WGS,repeated,17,#N/A,host-pathogen
160,10.1371_journal.pone.0147549.pdf,10.1371/journal.pone.0147549,2016,Huang; Qiang; Chen; Yan Ping; Wang; Rui Wu; Cheng; Shang; Evans; Jay D.,Huang,,Host-Parasite Interactions and Purifying Selection in a Microsporidian Parasite of Honey Bees,,yeast,,host-pathogen,reduced representation,experimental,6,#N/A,host-pathogen
136,10.1128_JVI.02055-14.pdf,10.1128/JVI.02055-14,2014,Boyle D.B.; Amos-Ritchie R.; Broz I.; Walker P.J.; Melville L.; Flanagan D.; Davis S.; Hunt N.; Weir R.,Boyle,,Evolution of bluetongue virus serotype 1 in northern Australia over 30 years,,virus,Bluetongue virus,host-pathogen,WGS,historical,30 or 32,#N/A,host-pathogen
154,10.1371_journal.pbio.0030300.pdf,10.1371/journal.pbio.0030300,2005,Holmes E.C.; Ghedin E.; Miller N.; Taylor J.; Bao Y.; St. George K.; Grenfell B.T.; Salzberg S.L.; Fraser C.M.; Lipman D.J.; Taubenberger J.K.,Holmes,,Whole-genome analysis of human influenza A virus reveals multiple persistent lineages and reassortment among recent H3N2 viruses,,virus, ,host-pathogen,WGS,historical,5 or 4,#N/A,host-pathogen
